Name,CATAID,Name,DESIG_ALLSKY,RA,DEC,SEPARATION,W1M,W2M,W3M,W4M,W1COV,W2COV,W3COV,W4COV,mw1,emw1,PHOTFLAG_W1,RADIUS_W1,MAGPRO_W1,MAGPROERR_W1,REDUCED_CHI_W1,FLUX_W1,FLUXERR_W1,MAGSTDAP_W1,MAGSTDAPERR_W1,MAGSTDAPFLAG_W1,RADIUS_ISO_W1,MAGISO_W1,MAGISOERR_W1,mw2,emw2,PHOTFLAG_W2,RADIUS_W2,MAGPRO_W2,MAGPROERR_W2,REDUCED_CHI_W2,FLUX_W2,FLUXERR_W2,MAGSTDAP_W2,MAGSTDAPERR_W2,MAGSTDAPFLAG_W2,RADIUS_ISO_W2,MAGISO_W2,MAGISOERR_W2,MAGDER_W2,MAGDERERR_W2,mw3,emw3,PHOTFLAG_W3,RADIUS_W3,MAGPRO_W3,MAGPROERR_W3,REDUCED_CHI_W3,FLUX_W3,FLUXERR_W3,MAGSTDAP_W3,MAGSTDAPERR_W3,MAGSTDAPFLAG_W3,RADIUS_ISO_W3,MAGISO_W3,MAGISOERR_W3,mw4,emw4,PHOTFLAG_W4,RADIUS_W4,MAGPRO_W4,MAGPROERR_W4,REDUCED_CHI_W4,FLUX_W4,FLUXERR_W4,MAGSTDAP_W4,MAGSTDAPERR_W4,MAGSTDAPFLAG_W4,RADIUS_ISO_W4,MAGISO_W4,MAGISOERR_W4,MAGDER_W4,MAGDERERR_W4,XSCPROX,BA_ISO,PA_ISO,RFUZZY,NA,NB,CC_FLAGS,DeblendedFraction,SApFlag,NnearSAp,GApFlag,NnearGAp,radeg,dedeg,resname
8706,8706,8706,b'J121445.45+004436.8',183.6893568,0.7435253,0.022514138,25,14,7,7,25.603,13.643,7.941,8.613,14.823,0.016,2,29.04,15.376,0.025,8.11,2.606445,0.059170365,15.209001,0.008,0,29.04,14.823,0.016,15.348,0.032,2,24.39,15.934999,0.028,1.822,1.5619949,0.04016628,15.764999,0.021,0,24.39,15.348,0.032,15.302,0.043,14.017,0.032,1,22.13,14.017,0.032,1.027,13.358087,0.3914685,13.96,0.03,0,19.15,14.17,0.037,13.224,0.096,1,-999,13.264,0.096,0.8815,18.224632,1.6057036,13.2,0.111,1,22.09,13.484,0.101,13.581,0.114,0.34,0.514,47.1,23.8,0,1,b'0000',0.93390125,0,0,1,6,183.6893333,0.7435,rs0781
9064,9064,9064,b'J121916.18+003853.7',184.8174006,0.6482367,0.31819278,23,23,8,10,22.403,22.373,8.862,9.898,17.351,0.037,3,8.25,17.851,0.039,1.994,0.26672038,0.009687385,17.351,0.037,1,-999,-999,-999,17.975,0.164,3,8.25,18.338,0.097,0.9124,0.17075673,0.015233974,17.975,0.164,1,-999,-999,-999,-999,-999,17.368,0.49,1,-999,17.368,0.49,1.123,0.61023545,0.27556154,16.125,-999,32,-999,-999,-999,15.477,-999,-1,-999,15.517,-999,1,-0.38349244,1.1441162,14.882999,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,b'0000',0.7848847,0,0,2,4,184.817375,0.648222222,rs0800
9352,9352,9352,b'J122354.53+004949.7',185.9771891,0.8304871,0.15321642,24,24,9,9,23.539,23.247,8.694,8.794,17.26,0.035,3,8.25,17.498,0.034,1.213,0.36902386,0.011438946,17.26,0.035,1,-999,-999,-999,17.803,0.089,3,8.25,17.954,0.078,0.9521,0.24330218,0.017409986,17.803,0.089,1,-999,-999,-999,-999,-999,17.096,0.383,1,-999,17.096,0.383,0.9628,0.7841279,0.27685404,16.895,0.403,1,-999,-999,-999,14.962,-999,-1,-999,15.002,-999,0.9394,1.1747458,1.2506404,14.53,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,b'0000',0.8023912,2,1,2,1,185.9771667,0.830472222,rs1339
16445,16445,16445,b'J143426.43+004947.9',218.6101853,0.8301489,0.7192725,46,38,21,21,46.011,38.255,21.152,21.308,19.515,0.188,3,8.25,19.862,0.106,0.8955,0.041840505,0.004089816,19.515,0.188,1,-999,-999,-999,19.273,-999,-1,8.25,20.550001,0.474,0.8433,0.022261856,0.009724838,19.273,-999,32,-999,-999,-999,-999,-999,17.715,-999,-1,-999,17.715,-999,0.7429,-0.086943306,0.2215727,17.332,-999,32,-999,-999,-999,15.294,-999,-1,-999,15.334,-999,0.8974,0.9620632,0.8733627,15.127,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,b'0000',0.88827753,0,0,0,0,218.6101667,0.830138889,rs1275
21836,21836,21836,b'J113738.38+010511.9',174.4098745,1.0865921,0.23803735,24,23,13,14,23.389,23.353,13.949,13.84,19.145,0.15,3,8.25,19.394999,0.103,0.9123,0.06429618,0.006098346,19.144999,0.15,0,-999,-999,-999,19.599,-999,-1,8.25,20.522001,0.532,0.9608,0.022858804,0.011197331,19.599,-999,32,-999,-999,-999,-999,-999,17.581,-999,-1,-999,17.581,-999,0.9281,0.05525521,0.22317886,17.354,-999,32,-999,-999,-999,15.269,-999,-1,-999,15.309,-999,0.9488,0.78210104,0.9950972,14.382,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,b'0000',0.88877845,0,0,0,0,174.4098333,1.086583333,rs0525
21910,21910,21910,b'J113912.37+010927.9',174.8015533,1.1578347,1.3119466,23,23,12,12,23.361,23.144,12.78,12.709,19.579,0.284,3,8.25,19.539,0.107,1.001,0.05629689,0.005523071,19.578999,0.284,1,-999,-999,-999,19.328,-999,-1,8.25,20.139,0.388,0.8408,0.032517105,0.011633885,19.328001,-999,32,-999,-999,-999,-999,-999,17.595,-999,-1,-999,17.595,-999,0.9407,-0.15777534,0.24743436,17.327,-999,32,-999,-999,-999,15.412,-999,-1,-999,15.452,-999,0.8858,0.104585044,1.162358,14.855,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,b'0000',0.7421674,2,1,2,1,174.8015417,1.157833333,rs0530
23225,23225,23225,b'J120329.54+011345.9',180.8730369,1.2293852,0.12718126,21,21,11,11,20.632,20.382,10.909,10.702,14.314,0.014,2,35.47,14.975,0.023,14.14,3.7709281,0.07879707,14.808001,0.007,1,35.47,14.314,0.014,15.01,0.022,2,28.16,15.729,0.026,3.304,1.8887347,0.04450478,15.473,0.025,1,28.16,15.01,0.022,14.958,0.032,16.766,0.266,1,-999,16.766,0.266,0.9582,1.0620304,0.26015896,16.516,0.256,1,7.37,17.588,0.265,14.727,-999,-1,-999,14.767,-999,0.9446,1.7981582,1.3831422,14.163,-999,32,12,16.001,0.473,-999,-999,0.58,0.709,95.9,20,0,2,b'0000',0.90934616,2,1,2,5,180.873,1.229361111,rs0633
23519,23519,23519,b'J120708.06+010438.5',181.7834721,1.0775882,1.3328376,22,22,11,11,21.373,21.137,10.986,10.772,19.365,0.267,3,8.25,19.615,0.116,0.9951,0.05250042,0.005590409,19.365,0.267,1,-999,-999,-999,19.996,-999,-1,8.25,20.009,-999,0.8833,0.012435588,0.012112635,19.996,-999,32,-999,-999,-999,-999,-999,17.044,-999,-1,-999,17.044,-999,0.9287,0.33947796,0.24147722,16.922,-999,32,-999,-999,-999,15.538,-999,-1,-999,15.578,-999,0.9458,-1.0656604,1.0818638,15.000999,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,b'0000',0.6104944,2,1,2,1,181.7834583,1.077583333,rs1502
23578,23578,23578,b'-999               ',182.142105,1.201848,1.0909135,22,22,11,11,21.523,21.413,10.988,10.881,18.514,0.094,3,8.25,19.379,0.108,0.9849,0.065288834,0.006508179,18.514,0.094,1,-999,-999,-999,19.152,0.353,3,8.25,19.722,-999,0.9061,0.0222532,0.012749075,19.152,0.353,1,-999,-999,-999,-999,-999,17.6,-999,-1,-999,17.6,-999,1.056,-0.16692162,0.24648458,17.03,-999,32,-999,-999,-999,15.354,-999,-1,-999,15.394,-999,0.9211,0.08552253,1.2387754,14.54,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,b'0000',0.53686565,2,2,2,5,182.1420833,1.201833333,rs1504
23593,23593,23593,b'J120917.27+010905.5',182.3219105,1.1515412,0.18226717,23,23,11,11,22.271,22.304,10.802,10.882,18.673,0.088,3,8.25,18.72,0.06,1.007,0.11969717,0.006606864,18.673,0.088,1,-999,-999,-999,19.29,0.272,3,8.25,19.302,0.18,0.9954,0.070303164,0.011656066,19.29,0.272,1,-999,-999,-999,-999,-999,17.345,-999,-1,-999,17.345,-999,0.993,0.14098734,0.24100378,16.78,-999,32,-999,-999,-999,14.964,-999,-1,-999,15.004,-999,0.7549,0.9480028,1.3608234,14.818,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,b'0000',0.9393362,0,0,0,0,182.321875,1.151527778,rs0739
23710,23710,23710,b'-999               ',182.797989,1.120948,2.9264512,23,22,11,11,23.218,21.352,11.702,11.474,18.641,0.13,3,8.25,18.939,0.073,1.043,0.09791294,0.006542815,18.641,0.13,1,-999,-999,-999,19.083,0.331,3,8.25,19.215,0.165,0.8732,0.07616446,0.011567348,19.083,0.331,1,-999,-999,-999,-999,-999,17.51,-999,-1,-999,17.51,-999,0.9245,-0.22639126,0.26768744,17.175001,-999,32,-999,-999,-999,15.183,-999,-1,-999,15.223,-999,0.7676,0.70568377,1.1470432,14.815,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,b'0000',0.8758309,2,1,0,0,182.7979583,1.120944444,rs1508
23868,23868,23868,b'J121309.93+011130.9',183.2913217,1.191987,1.2312249,23,16,13,12,23.228,16.296,13.989,12.789,17.449,0.029,3,8.25,17.776,0.038,1.547,0.28566405,0.009885142,17.449,0.029,1,-999,-999,-999,18.322,0.144,3,8.25,18.472,0.111,0.8339,0.15103604,0.015374083,18.322,0.144,1,-999,-999,-999,-999,-999,17.124,0.316,1,-999,17.124,0.316,0.9072,0.7639706,0.22213908,16.828001,0.391,1,-999,-999,-999,15.634,-999,-1,-999,15.674,-999,0.9885,-1.0267721,0.9896613,14.775,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,b'0000',0.8824689,2,1,2,1,183.2912917,1.191972222,rs0776
24103,24103,24103,b'J121729.34+011155.6',184.3722031,1.1988538,0.621554,29,24,10,13,28.423,23.328,12.375,15.4,18.321,0.105,3,8.25,18.986,0.068,1.124,0.093702376,0.005907555,18.321,0.105,1,-999,-999,-999,19.028,0.319,3,8.25,19.594,0.262,0.9122,0.053736262,0.012960861,19.028,0.319,1,-999,-999,-999,-999,-999,17.62,-999,-1,-999,17.62,-999,0.8944,-0.34546125,0.24181704,17.124,-999,32,-999,-999,-999,15.649,-999,-1,-999,15.689,-999,1.041,-0.165238,0.976594,14.802,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,b'0000',0.87052244,1,2,0,0,184.3721667,1.198833333,rs0789
24207,24207,24207,b'J121935.69+011259.9',184.898642,1.2166331,0.15601195,23,23,6,7,24.419,24.294,5.956,6.821,17.478,0.034,3,8.25,17.819,0.039,1.316,0.27459586,0.009924422,17.478,0.034,1,-999,-999,-999,18.078,0.148,3,8.25,18.377,0.099,0.8806,0.16471691,0.015077637,18.078001,0.148,1,-999,-999,-999,-999,-999,16.868,0.337,1,-999,16.868,0.337,1.197,0.9672276,0.300122,16.649,0.462,1,-999,-999,-999,15.306,-999,-1,-999,15.346,-999,1.269,-0.6014071,1.3391318,14.643,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,b'0000',0.9371954,0,0,2,1,184.898625,1.216611111,rs0802
24414,24414,24414,b'J122208.93+010644.9',185.5372561,1.1125166,0.8677348,25,25,8,9,24.365,24.372,8.058,8.888,19.171,0.18,3,8.25,19.369,0.102,0.9258,0.06586353,0.006161814,19.171,0.18,0,-999,-999,-999,19.204,0.338,3,8.25,19.483,0.265,0.9065,0.05948937,0.01453262,19.204,0.338,0,-999,-999,-999,-999,-999,17.422,-999,-1,-999,17.422,-999,0.9745,0.013733348,0.28347048,16.85,-999,32,-999,-999,-999,15.239,-999,-1,-999,15.279,-999,0.9728,-0.59597117,1.4243302,14.614,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,b'0000',0.87623674,0,0,0,0,185.53725,1.1125,rs0807
69462,69462,69462,b'J113929.68+000659.7',174.8736629,0.1165688,0.07205255,24,24,11,11,23.413,23.273,10.97,10.863,16.166,0.014,3,8.25,16.289999,0.026,2.01,1.1231127,0.02643597,16.166,0.014,1,-999,-999,-999,16.735,0.041,3,8.25,16.809,0.034,0.9445,0.6986228,0.021664094,16.735,0.041,1,-999,-999,-999,-999,-999,14.715,0.043,1,-999,14.715,0.043,1.008,7.025405,0.27878553,14.679,0.053,1,-999,-999,-999,13.885,0.125,1,-999,13.925,0.125,0.849,9.911247,1.1453184,13.783,0.164,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,b'0000',0.9100678,2,1,2,1,174.873625,0.116555556,rs0532
69551,69551,69551,b'J114122.12+000739.5',175.3421699,0.1275933,0.60126203,22,22,11,11,21.717,22.212,10.97,10.909,17.783,0.05,3,8.25,18.413,0.053,1.441,0.15895252,0.007765542,17.782999,0.05,0,-999,-999,-999,18.329,0.137,3,8.25,18.79,0.122,0.826,0.11265221,0.012640072,18.329,0.137,0,-999,-999,-999,-999,-999,17.418,-999,-1,-999,17.418001,-999,1.06,0.10933118,0.23665574,16.773,-999,32,-999,-999,-999,15.268,-999,-1,-999,15.308,-999,0.9809,0.32682762,1.2232513,14.49,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,b'0000',0.8859201,0,0,2,1,175.3421667,0.127583333,rs0542
69652,69652,69652,b'-999               ',175.837234,0.028476,1.6534475,25,25,12,12,24.37,24.23,11.895,11.863,19.843,0.479,3,8.25,20.223,0.193,0.8863,0.03000024,0.005323572,19.842999,0.479,1,-999,-999,-999,19.457,-999,-1,8.25,20.321001,-999,0.8957,0.004994143,0.011254403,19.457,-999,32,-999,-999,-999,-999,-999,17.423,-999,-1,-999,17.423,-999,0.7914,0.08854949,0.24583688,17.376,-999,32,-999,-999,-999,15.287,-999,-1,-999,15.327,-999,1.009,0.5072288,1.1085732,15.046,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,b'0000',0.5355865,2,1,2,1,175.8372083,0.028472222,rs0551
69653,69653,69653,b'J114325.19+000049.8',175.8549026,0.0138146,0.8372355,24,24,12,12,23.264,23.321,11.982,11.873,17.753,0.038,3,8.25,18.296999,0.047,1.317,0.17680095,0.007671307,17.753,0.038,1,-999,-999,-999,18.593,0.199,3,8.25,18.986,0.131,0.9465,0.09406213,0.011311743,18.593,0.199,1,-999,-999,-999,-999,-999,17.398,-999,-1,-999,17.398,-999,0.9178,0.031365696,0.28103653,16.968,-999,32,-999,-999,-999,15.512,-999,-1,-999,15.552,-999,0.9188,-0.27755886,1.1075279,14.861,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,b'0000',0.9174997,0,0,2,1,175.854875,0.013805556,rs0552
69864,69864,69864,b'-999               ',177.157394,0.024522,0.6222993,23,23,13,13,23.593,23.056,12.848,13.46,17.804,0.047,3,8.25,18.277,0.046,1.374,0.18004014,0.007575138,17.803999,0.047,0,-999,-999,-999,18.559,0.184,3,8.25,18.902,0.128,0.985,0.101592295,0.011976854,18.559,0.184,0,-999,-999,-999,-999,-999,17.159,-999,-1,-999,17.159,-999,0.749,0.29930875,0.22030342,17.06,-999,32,-999,-999,-999,14.906,-999,-1,-999,14.946,-999,0.9183,1.754409,1.0591791,14.551001,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,b'0000',0.88266104,0,0,0,0,177.157375,0.0245,rs0562
70532,70532,70532,b'J120104.98+000650.0',180.2706147,0.1139068,0.8418917,24,24,12,12,24.638,24.469,11.919,11.704,14.591,0.013,2,23.36,14.953,0.027,3.741,3.845619,0.09726858,14.724,0.007,1,23.36,14.591,0.013,15.217,0.02,2,21.17,15.642,0.029,1.377,2.0452886,0.055356435,15.347,0.01,1,21.17,15.217,0.02,15.207,0.029,16.19,0.18,1,-999,16.19,0.18,0.9861,1.8050306,0.298844,15.727,0.117,1,13.47,16.103,0.112,14.673,-999,-1,-999,14.713,-999,0.9872,1.6561432,1.5716766,14.872,0.444,1,12,16.088,0.481,15.933,0.514,1.07,0.57,137.1,19,1,2,b'0000',0.84850353,2,1,1,5,180.2705833,0.113888889,rs0595
70719,70719,70719,b'J120441.34+000048.3',181.1721997,0.0133401,0.27630153,23,25,11,11,25.878,25.431,11.952,11.872,18.726,0.119,3,8.25,18.733,0.063,0.9839,0.11837944,0.006837516,18.726,0.119,1,-999,-999,-999,18.854,0.209,3,8.25,19.039,0.14,1.006,0.08957216,0.011520824,18.854,0.209,1,-999,-999,-999,-999,-999,17.501,0.476,1,-999,17.501,0.476,0.9703,0.5398304,0.23652504,16.952,-999,32,-999,-999,-999,14.927,-999,-1,-999,14.967,-999,0.7541,1.4659886,1.1652328,14.408,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,b'0000',0.88294274,0,0,0,0,181.1721667,0.013333333,rs1493
70777,70777,70777,b'J120532.05+000220.4',181.3833929,0.0391925,0.52465326,22,22,12,12,23.081,23.129,12.755,12.73,18.037,0.05,3,8.25,18.542,0.054,1.277,0.14111374,0.0070196,18.037,0.05,1,-999,-999,-999,18.729,0.177,3,8.25,18.878,0.14,0.9233,0.10389948,0.013394982,18.729,0.177,1,-999,-999,-999,-999,-999,17.787,-999,-1,-999,17.787,-999,0.8911,-0.11529993,0.20750038,17.165,-999,32,-999,-999,-999,15.503,-999,-1,-999,15.543,-999,0.9858,-0.19876856,1.1164135,14.78,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,b'0000',0.7510482,2,1,2,1,181.383375,0.039166667,rs0713
71117,71117,71117,b'J121234.48+001109.8',183.1435989,0.185993,0.7548497,23,13,9,12,23.322,14.27,8.738,12.882,18.329,0.08,3,8.25,18.546999,0.057,0.9765,0.140481,0.007370995,18.329,0.08,0,-999,-999,-999,19.558,0.473,3,8.25,19.311,0.25,0.9335,0.06974056,0.016079495,19.558,0.473,16,-999,-999,-999,-999,-999,17.589,-999,-1,-999,17.589,-999,1.026,-0.109871425,0.24897374,17.2,-999,32,-999,-999,-999,15.554,-999,-1,-999,15.594,-999,0.9327,-1.7951267,1.0656604,15.059999,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,b'0000',0.9009157,0,0,0,0,183.1435833,0.185972222,rs0772
