name,ekmag,emw1,emw2,emw3,emw4,kmag,mur50,mw1,mw2,mw3,mw4,name,ukidsskflag,ukidsskmag,kmag_flag,sb_flag,wise_good
rs0063,0.1291,0.00079938385,0.0026874659,0.020806756,0.26151755,11.8375,20.471632,11.694877,11.619451,10.185426,8.08656,rs0063,   1,0.0,False,True,True
rs0064,0.0782,0.0008295221,0.0013879272,0.0021231463,0.010487866,11.0681,20.302826,10.9813385,10.87503,7.2683325,5.4512677,rs0064,   0,11.3556,True,True,True
rs0065,0.1783,0.010233488,0.0309151,0.08584553,2.6343443,13.996,22.392006,14.052703,14.2285185,11.5491,9.067562,rs0065,   0,14.4389,True,True,False
rs0066,0.0,0.09504567,0.3531841,0.0,0.0,0.0,22.301008,14.963048,14.946815,0.0,0.0,rs0066,   1,0.0,False,True,False
rs0067,0.0,0.068782985,0.13779157,0.1741899,2.3614848,0.0,21.964933,15.054112,14.789397,11.335917,10.803543,rs0067,   1,0.0,False,True,False
rs0068,0.0,0.053924866,0.06486828,3.0316806,1e+33,0.0,22.09344,15.049414,15.111209,11.34813,6.7642164,rs0068,   1,0.0,False,True,False
rs0069,0.0,0.059135243,0.15721531,3.1424136,0.0,0.0,22.155466,14.428373,14.201225,12.587314,0.0,rs0069,   0,15.5158,False,True,False
rs0070,0.0,0.033901654,0.050326932,1.8698529,2.961973,0.0,21.59255,15.040968,15.070262,13.531819,9.751761,rs0070,   0,15.1123,False,True,False
rs0071,0.1162,0.011526575,0.017130105,0.10911889,0.17879848,14.0513,21.130522,13.746576,13.70749,11.989514,8.712845,rs0071,   0,13.9273,True,True,True
rs1320,0.4892,0.0018870224,0.0047020745,0.0988952,0.0,11.7495,19.47013,11.7940445,11.78882,10.612085,0.0,rs1320,   0,12.3865,True,True,False
rs0072,0.197,0.023971617,0.050568532,3.6946206,0.0,14.1229,20.735147,11.993424,11.966067,11.097926,0.0,rs0072,   0,13.7175,True,True,False
rs0073,0.0,0.011697295,0.044776592,35.64885,16.959206,0.0,22.796124,15.080779,14.996095,12.3425,9.592798,rs0073,   1,0.0,False,True,False
rs0074,0.3421,0.030671716,0.038732547,0.11888933,0.06304502,14.2149,22.584267,13.510175,13.604952,10.470923,8.450733,rs0074,   0,14.8362,True,True,True
rs0075,0.2046,0.012647887,0.050392356,1.7290256,0.0,13.1219,20.707607,12.735648,12.614331,12.724893,0.0,rs0075,   1,0.0,False,True,False
rs0077,0.3254,0.0021109947,0.003962924,0.010731162,0.027480476,11.2664,21.789574,10.984476,10.86467,7.1056128,5.1950264,rs0077,   0,11.6488,True,True,True
rs0078,0.0,0.073129416,0.023597466,0.3289809,0.0,0.0,22.44909,13.831202,14.572354,12.148632,0.0,rs0078,   0,14.7156,False,True,False
rs0080,0.0338,0.000450132,0.0010928925,0.013185257,0.4220357,10.2244,19.342821,10.02977,10.093281,9.182037,7.516695,rs0080,   1,0.0,False,True,True
rs0081,0.0,0.041960467,0.41735387,2.598472,2.9171076,0.0,21.549965,14.392062,14.446105,11.594256,9.089622,rs0081,   0,15.2384,False,True,False
rs0082,0.0,0.03935831,0.1633193,6.0625806,0.0,0.0,22.653942,14.8211,14.1102,11.63778,0.0,rs0082,   0,14.9956,False,True,False
rs0083,0.0,0.09338941,0.15185788,0.2740362,1e+33,0.0,24.184647,13.872077,12.903209,12.68005,11.135248,rs0083,   1,0.0,False,False,False
rs0084,0.3373,0.007384442,0.071456224,0.095461205,2.3280463,14.4946,21.569311,14.304933,13.952019,11.015164,9.23951,rs0084,   0,14.6224,True,True,False
rs0085,0.3435,0.0056998283,0.021219024,0.02791197,0.061096214,13.4451,22.10192,12.955746,12.961814,10.040828,7.646409,rs0085,   0,13.4244,True,True,True
rs0086,0.0,0.033459406,0.08581407,0.0,0.0,0.0,24.019474,14.288567,14.52563,0.0,0.0,rs0086,   0,14.6351,False,False,False
rs0088,0.0,0.017751755,0.00840532,0.028503401,0.33200574,0.0,21.383762,13.110383,13.244051,9.65521,6.7080555,rs0088,   0,13.9322,False,True,True
rs0087,0.0296,0.00042191413,0.00077259546,0.0006182264,0.001471844,11.2444,19.50174,10.641875,10.409026,6.3064075,3.8847582,rs0087,   0,11.2671,True,True,True
rs0089,0.3673,0.0007501503,0.0017203167,0.0041083745,0.011095838,11.9556,20.728374,11.265862,11.1856985,7.5866966,5.881768,rs0089,   1,0.0,False,True,True
rs0090,0.3416,0.02069619,0.09076624,0.16316506,2.5101264,13.7189,21.23481,14.260253,13.9480505,11.963142,9.439854,rs0090,   0,14.6571,True,True,False
rs0091,0.1355,0.0029332296,0.0074812355,0.04912021,0.0,12.2107,20.075342,11.798094,11.923926,11.233356,0.0,rs0091,   0,12.2412,True,True,False
rs0092,0.5162,0.0050399853,0.010736573,0.030996233,6.406681,12.7842,21.0682,13.383846,13.548534,10.728408,8.318521,rs0092,   0,13.3978,True,True,False
rs0093,0.5237,0.0058574784,0.0119511215,0.029876187,0.035668563,13.0535,21.437052,12.520004,12.5346775,9.3532505,7.4367857,rs0093,   0,12.8663,True,True,True
rs0094,0.3303,0.006976572,0.050259043,0.015651068,0.035341885,13.1387,21.760513,12.491515,12.00225,9.277928,7.474166,rs0094,   0,12.9639,True,True,True
rs0095,0.0,0.055922866,0.07846563,0.67998725,2.914647,0.0,21.385412,14.61773,14.566126,11.18046,9.407008,rs0095,   1,0.0,False,True,False
rs0096,0.0569,0.0020058125,0.003404027,0.004774262,0.012393418,11.7172,20.296232,11.45211,11.329639,7.559291,5.6585746,rs0096,   0,11.903,True,True,True
rs0097,0.1558,0.0043381928,0.010801277,0.016202107,0.026363084,13.089,22.245235,13.030109,12.858591,10.03013,7.2013116,rs0097,   1,0.0,False,True,True
rs0098,0.1644,0.005616338,0.015410304,0.19465731,0.10491876,13.4832,21.00236,13.174466,13.130947,9.386898,8.389969,rs0098,   0,13.4842,True,True,True
rs0099,0.0,0.23669861,0.05793577,0.6557858,25.71206,0.0,22.808525,14.688299,15.059428,13.599285,9.430294,rs0099,   1,0.0,False,True,False
rs0100,0.0275,0.0,0.0,0.0,0.0,9.8518,20.817202,0.0,0.0,0.0,0.0,rs0100,   0,9.8893,True,True,False
rs0101,0.0159,0.0,0.0,0.0,0.0,10.5057,19.13287,0.0,0.0,0.0,0.0,rs0101,   0,10.549,True,True,False
rs0102,0.0,0.0,0.0,0.0,0.0,0.0,21.280565,0.0,0.0,0.0,0.0,rs0102,   0,15.0495,False,True,False
rs0103,0.0862,0.0,0.0,0.0,0.0,12.4835,20.851286,0.0,0.0,0.0,0.0,rs0103,   0,12.6221,True,True,False
rs0104,0.4649,0.03460241,0.18564326,0.08016593,0.11291425,12.7765,21.1374,12.956261,12.617917,10.510343,7.7616196,rs0104,   0,13.7247,True,True,True
rs0105,0.0,0.015487921,0.16290554,0.10533788,0.590947,0.0,22.297924,14.318117,13.91042,11.170043,10.109699,rs0105,   0,14.6512,False,True,True
rs0106,3.5084,0.042449925,0.07510712,4.5508895,2.7190661,12.7144,23.709675,14.143224,14.518664,12.162124,10.463634,rs0106,   0,13.9588,False,False,False
rs0107,0.1345,0.0005381147,0.0008270239,0.001762378,0.009750858,11.1462,20.564384,10.641987,10.43665,6.6985235,4.7485137,rs0107,   0,11.0466,True,True,True
rs0108,0.1937,0.00465936,0.010992503,0.10856664,0.17184411,13.8333,20.09988,13.909359,13.852278,11.669895,8.499829,rs0108,   0,14.0135,True,True,True
rs0109,0.0227,0.0005446773,0.0011011615,0.008129514,0.022959804,10.8779,20.126457,10.509524,10.365205,7.962391,6.1959295,rs0109,   0,10.9884,True,True,True
rs0110,0.0,0.084103405,1.1646866,0.0,0.0,0.0,21.345436,13.927226,12.796989,0.0,0.0,rs0110,   0,15.4966,False,True,False
rs0111,0.0,0.29301065,0.5394206,0.0,5.0528135,0.0,22.527931,12.572451,12.634011,0.0,9.062994,rs0111,   1,0.0,False,True,False
rs1321,0.0,0.033545986,0.108793244,2.3509436,12.426744,0.0,21.73789,15.26711,15.122114,12.796164,9.940373,rs1321,   1,0.0,False,True,False
rs0112,0.061,0.0,0.0,0.0,0.0,9.7255,20.11126,0.0,0.0,0.0,0.0,rs0112,   1,0.0,False,True,False
rs1322,0.0,0.0,0.0,0.0,0.0,0.0,21.735176,0.0,0.0,0.0,0.0,rs1322,   0,14.8233,False,True,False
rs0113,0.1181,0.00082501175,0.0017592371,0.0031796105,0.0068293535,11.5887,20.855572,11.452564,11.337287,8.099297,5.810007,rs0113,   0,11.7888,True,True,True
rs0114,0.1237,0.0076445104,0.020805437,0.018601192,0.036574956,13.2989,22.140495,12.900825,12.711245,9.283004,7.7755556,rs0114,   0,13.3037,True,True,True
rs0115,0.0,0.9314774,1.11245,382.15622,2.104044,0.0,23.773487,12.11342,13.120399,13.905784,10.656309,rs0115,   0,16.2045,False,False,False
rs0117,0.0955,0.004234087,0.006571491,0.037274763,0.10042124,11.9915,20.686169,11.640471,11.89102,9.602555,7.374449,rs0117,   0,11.9206,True,True,True
rs0118,0.3883,0.0,0.0,0.0,0.0,13.0856,22.637535,0.0,0.0,0.0,0.0,rs0118,   0,14.023,True,True,False
rs0119,0.0,0.024838513,0.09021082,4.347229,0.0,0.0,22.89923,13.586952,13.20369,12.653584,0.0,rs0119,   0,16.7203,False,True,False
rs0120,0.0687,0.0,0.0,0.0,0.0,12.8052,21.332567,0.0,0.0,0.0,0.0,rs0120,   0,13.01,True,True,False
rs0121,0.0686,0.0,0.0,0.0,0.0,12.5014,20.79617,0.0,0.0,0.0,0.0,rs0121,   0,12.535,True,True,False
rs0122,0.0,0.06610599,0.03600913,5.9631352,2.6953037,0.0,22.43798,12.671865,13.782733,11.849557,10.6762705,rs0122,   0,15.0743,False,True,False
rs0123,0.1536,0.017322248,0.12439664,0.13261308,2.177988,14.4034,22.038336,14.127258,13.724341,10.384426,9.113445,rs0123,   0,14.6348,True,True,False
rs0124,0.0,0.0,0.0,0.0,115.28619,0.0,22.86036,0.0,0.0,0.0,9.721397,rs0124,   0,14.3745,False,True,False
rs0125,0.3022,0.0005146806,0.0013770445,0.0474013,0.14010026,11.0274,20.147736,10.787589,10.793963,9.922906,7.0044427,rs0125,   0,10.8911,True,True,True
rs0126,0.0,0.011861036,0.0934124,1.1838315,0.0,0.0,21.71591,15.029145,14.76435,13.83638,0.0,rs0126,   0,14.9622,False,True,False
rs0127,0.1177,0.009074636,0.03593156,0.036829274,0.30797023,13.2603,20.061214,12.954854,12.753376,9.292742,6.564403,rs0127,   0,13.3171,True,True,True
rs0128,0.1714,0.005126624,0.02922676,0.028312678,0.34120354,13.4857,20.845947,12.95075,12.862166,9.603497,7.7348547,rs0128,   0,13.2032,True,True,True
rs0129,0.1508,0.001030672,0.0031895854,0.005157075,0.022324506,11.6536,20.547562,11.70769,11.536818,7.950257,6.336442,rs0129,   0,12.064,True,True,True
rs0130,0.0,0.014605764,0.06587562,2.9426355,3.718329,0.0,21.674212,14.835342,14.446524,12.332932,7.9220133,rs0130,   0,15.0115,False,True,False
rs0131,0.3022,0.0,0.0,0.0,0.0,10.3785,19.698338,0.0,0.0,0.0,0.0,rs0131,   0,10.2472,True,True,False
rs0132,0.0,0.0,0.0,0.0,0.0,0.0,22.181732,0.0,0.0,0.0,0.0,rs0132,   0,15.4743,False,True,False
rs0133,0.0371,0.0003238811,0.0005624599,0.00061189337,0.0018557973,10.7837,20.496283,10.30165,10.043306,5.9425364,3.785104,rs0133,   0,10.7996,True,True,True
rs0134,0.0295,0.00033213594,0.00067569385,0.00062390446,0.0021636533,10.1021,20.37882,9.758039,9.5178995,5.6993046,3.770807,rs0134,   0,10.1233,True,True,True
rs0135,0.1764,0.007415266,0.0312558,0.010320997,0.032143876,12.6003,22.335777,12.356753,12.262092,9.201988,7.1379967,rs0135,   0,12.9521,True,True,True
rs0136,0.203,0.0004104665,0.00070567714,0.0007125527,0.0034351365,10.7567,19.889175,10.577683,10.316087,6.5682187,4.614727,rs0136,   1,0.0,False,True,True
rs0137,0.2233,0.0267864,0.010898391,0.0118968105,0.03599934,14.4898,21.39153,13.637231,12.212704,7.789056,5.065501,rs0137,   1,0.0,False,True,True
rs0138,0.1726,0.04798851,0.0441504,0.16326952,1.6936717,14.383,21.137445,14.277465,14.261504,12.259585,10.364076,rs0138,   0,14.5914,True,True,True
rs0139,0.0,0.16266082,0.29442254,0.113928854,0.31729212,0.0,21.523891,14.567706,14.219597,11.425768,8.048789,rs0139,   0,15.2077,False,True,True
rs0140,0.0,0.0,0.0,0.0,0.0,0.0,20.96508,0.0,0.0,0.0,0.0,rs0140,   0,14.7124,False,True,False
rs0141,0.1324,0.057440467,0.07956111,1.2588743,1.9782971,13.7178,20.687778,13.255399,13.277698,10.059651,9.670397,rs0141,   1,0.0,False,True,False
rs0142,0.3099,0.00097044033,0.0021173656,0.0029091705,0.01713239,11.7251,20.055958,11.691493,11.503893,7.6592603,5.8332815,rs0142,   0,12.1038,True,True,True
rs0143,0.2085,0.001041276,0.0024925813,0.0038793047,0.042322263,12.0783,20.216703,12.09302,11.942377,8.230703,6.0057454,rs0143,   1,0.0,False,True,True
rs0145,0.0987,0.003825737,0.01027935,0.03815889,0.08680315,12.9523,19.911205,12.565481,12.404173,8.9646635,6.6856556,rs0145,   0,12.8072,True,True,True
rs0146,0.3125,0.010031972,0.0,0.0,0.0,13.339,21.673317,12.501449,0.0,0.0,0.0,rs0146,   1,0.0,False,True,False
rs0147,0.189,0.0052315164,0.019928034,0.02413765,0.050623875,12.7795,20.726353,12.688927,12.411935,9.401332,7.1817527,rs0147,   0,13.1764,True,True,True
rs0148,0.051,0.0012381966,0.003013296,0.0025436347,0.00797524,11.1457,20.979994,10.8387575,10.713154,7.19348,5.1425614,rs0148,   0,11.4358,True,True,True
rs0149,0.2904,0.013036404,0.078905456,0.064878985,0.0,13.6437,21.702997,14.100043,13.739799,11.429638,0.0,rs0149,   0,14.178,True,True,False
rs1323,0.0,0.041255124,0.372964,1.8432502,2.5417898,0.0,21.63448,15.289342,15.159859,12.89437,9.9304085,rs1323,   0,15.5091,False,True,False
rs1324,0.2382,0.0005828924,0.0017692269,0.020078396,1.2113552,11.5032,19.198133,11.550609,11.541852,9.996314,8.613691,rs1324,   0,11.6027,True,True,True
rs0150,0.2431,0.049651824,0.10494473,8.781889,3.4079533,13.6185,22.169117,13.966394,13.955874,13.018743,10.141041,rs0150,   0,14.3149,True,True,False
rs0151,0.0,0.0066377646,0.02203466,0.072234206,2.0939434,0.0,21.897276,14.554619,14.61021,11.806446,9.786836,rs0151,   1,0.0,False,True,False
rs0152,0.4575,0.0,0.0,0.0,0.0,13.9098,21.60453,0.0,0.0,0.0,0.0,rs0152,   1,0.0,False,True,False
rs0153,0.7092,0.0,0.0,0.0,0.0,13.1,23.071043,0.0,0.0,0.0,0.0,rs0153,   0,12.9988,True,False,False
rs0154,0.0,0.05165654,0.18778434,1.1926603,0.0,0.0,22.64919,15.366516,15.190627,13.915501,0.0,rs0154,   0,15.473,False,True,False
rs1325,0.0,0.19006807,0.62551755,0.15059736,6.680364,0.0,21.820843,13.141475,12.944663,10.213084,8.7078905,rs1325,   1,0.0,False,True,False
rs0155,0.0928,0.0019157548,0.0053197783,0.054953843,0.12378926,11.6148,20.076105,11.337728,11.2401085,11.19555,8.448926,rs0155,   0,11.5034,True,True,True
rs0156,0.1966,0.004087036,0.008116214,0.00930846,0.022597687,12.9249,20.879114,12.789413,12.636779,9.154607,6.7278943,rs0156,   1,0.0,False,True,True
rs0157,0.0,0.118592665,0.07325731,8.907813,1.9625219,0.0,23.624542,14.616978,15.202988,11.148802,9.933708,rs0157,   1,0.0,False,False,False
rs0158,0.0,0.1587972,0.1958327,0.0,1.7307553,0.0,22.618149,14.723895,14.293029,0.0,10.47333,rs0158,   0,15.3542,False,True,False
rs0159,0.1066,0.0010026228,0.0020025312,0.009620583,0.004452633,11.0397,20.436098,10.792065,10.745722,7.427352,4.702616,rs0159,   0,11.1919,True,True,True
rs0160,0.0,0.009501197,0.029923746,0.11248277,4.477755,0.0,22.046162,14.085496,13.818394,11.244632,10.028053,rs0160,   0,14.4232,False,True,False
rs0161,0.0,0.026367571,0.05346978,2.5147562,1e+33,0.0,21.539364,15.430455,15.575259,13.297505,11.649697,rs0161,   0,15.3041,False,True,False
rs0162,0.1294,0.00028518995,0.0008325288,0.001411221,0.016905336,9.9952,20.115976,9.913871,9.919627,7.2037864,5.4522023,rs0162,   0,10.1785,True,True,True
rs0163,0.183,0.0013348578,0.0033384364,0.0058683124,0.05448277,12.699,20.43322,12.394033,12.309509,8.68569,6.7514696,rs0163,   0,12.6874,True,True,True
rs0164,0.0,0.09388704,0.0,0.0,0.0,0.0,22.751627,15.556756,0.0,0.0,0.0,rs0164,   0,15.6272,False,True,False
rs0165,0.36,0.016060311,0.024895558,0.16225828,1e+33,14.1665,20.961159,14.355874,14.580586,11.292926,12.081769,rs0165,   0,14.3971,True,True,False
