name,mass,nuv,fuv,inextfuv
"rs0065",8.67000,-17.1410,-17.0592,-1.04236
"rs0066",8.09000,-15.8190,-15.7174,-0.379238
"rs0067",8.47000,-15.8737,-15.6231,-1.21802
"rs0068",8.75000,-15.9623,-15.6041,-1.04385
"rs0069",8.33000,-16.0202,-15.9107,-0.800735
"rs0070",8.43000,-16.2912,-16.1213,-0.647808
"rs0071",9.39000,-13.6477,-12.5457,-0.944662
"rs1320",10.2100,-15.8403,-14.9793,-1.13436
"rs0072",9.37000,-14.6175,-13.6265,-1.39473
"rs0073",8.93000,-13.7241,-11.5368,-0.758198
"rs0074",9.29000,-13.9135,-11.9141,-0.737852
"rs0075",9.93000,-15.0580,-13.7815,-0.977005
"rs0077",9.91000,-19.4205,-19.2669,-0.890789
"rs0078",8.85000,-15.6845,-15.4301,-1.03540
"rs0080",10.7700,-16.4620,-15.2699,-0.785589
"rs0081",8.59000,-16.6204,-16.4846,-0.868557
"rs0082",8.69000,-16.7504,-16.5434,-0.797325
"rs0083",8.67000,-16.6579,-16.3999,-0.724827
"rs0084",9.09000,-16.5714,-16.3778,-1.52976
"rs0085",9.13000,-17.9506,-17.7707,-0.978577
"rs0086",9.09000,-17.7895,-17.7208,-1.75593
"rs0088",8.73000,-18.0079,-18.0551,-1.20765
"rs0087",9.71000,-19.9335,-19.8967,-1.29073
"rs0089",9.83000,-19.3433,-19.3636,-1.90677
"rs0090",8.47000,-16.6082,-16.4586,-0.304417
"rs0091",10.1900,-15.6025,-14.2261,-0.731438
"rs0092",9.35000,-17.4118,-17.1655,-1.26538
"rs0093",9.33000,-18.4483,-18.3800,-1.37752
"rs0094",9.27000,-17.9755,-17.7725,-1.07701
"rs0095",8.27000,-16.3576,-16.2853,-0.337257
"rs0096",9.59000,-18.9103,-18.7396,-1.10209
"rs0097",8.89000,-17.7553,-17.6277,-0.279961
"rs0098",9.31000,-16.0007,-15.6316,-1.84106
"rs0099",8.51000,-16.3138,-16.0720,-0.413765
"rs0100",11.0500,-20.8861,-20.8473,-2.03485
"rs0101",10.8700,-17.2132,-15.9019,-1.17559
"rs0102",9.01000,-13.3490,-11.8483,-0.937397
"rs0103",9.79000,-18.5147,-18.4429,-1.98149
"rs0104",9.37000,-17.5013,-17.3515,-1.65657
"rs0105",8.91000,-17.3942,-17.2429,-1.03654
"rs0106",8.79000,-15.7274,-14.8528,-0.514753
"rs0107",10.4900,-16.8914,-16.4688,-1.35999
"rs0108",9.07000,-17.1197,-16.8054,-0.526897
"rs0109",10.4100,-16.7306,-16.1619,-1.35945
"rs0110",8.79000,-13.6515,-12.5593,-1.42492
"rs0111",8.75000,-17.0447,-16.9906,-2.04657
"rs1321",8.53000,-15.8244,-15.5159,-0.841862
"rs0112",10.7300,-18.3026,-17.4898,-1.65361
"rs1322",8.89000,-16.9065,-16.7544,-1.35113
"rs0113",10.3100,-16.9167,-16.4287,-1.36309
"rs0114",9.35000,-18.5949,-18.4948,-0.944530
"rs0115",8.29000,-15.6058,-15.2578,-0.100542
"rs0117",10.2500,-16.6745,-15.3995,-1.33747
"rs0118",9.09000,-17.9122,-17.8135,-1.40358
"rs0119",8.79000,-15.1373,-14.2131,-1.42295
"rs0120",9.51000,-18.5871,-18.4194,-1.42749
"rs0121",9.67000,-19.7687,-19.7790,-1.84609
"rs0122",8.47000,-16.6156,-16.4835,-0.416412
"rs0123",8.79000,-16.7749,-16.5406,-0.780746
"rs0124",8.81000,-17.7046,-17.6480,-1.08124
"rs0125",10.6700,-15.4151,-14.2272,-0.409067
"rs0126",8.93000,-13.2083,-11.7276,-0.975977
"rs0127",9.31000,-17.2563,-16.9779,-0.802498
"rs0128",9.41000,-17.6350,-17.5264,-1.41277
"rs0129",9.73000,-19.0676,-18.9408,-1.46193
"rs0130",8.59000,-16.7016,-16.5439,-0.591480
"rs0131",10.6900,-16.0509,-14.7139,-0.675587
"rs0132",8.31000,-15.0908,-14.6133,-0.880314
"rs0133",10.2500,-20.0341,-20.0036,-2.46426
"rs0134",10.6900,-19.5865,-19.3948,-1.73053
"rs0135",9.53000,-20.0228,-19.9572,-2.17538
"rs0136",10.4300,-17.6832,-17.3900,-1.35781
"rs0137",9.11000,-14.9285,-13.8422,-1.32435
"rs0138",8.57000,-15.9676,-15.7349,-1.01950
"rs0139",8.15000,-15.6123,-15.4064,-0.171955
"rs0140",8.51000,-17.0355,-16.9597,-0.159477
"rs0141",8.93000,-17.3663,-17.2475,-1.27236
"rs0142",9.89000,-18.9224,-18.8003,-2.28445
"rs0143",9.73000,-18.5883,-18.4477,-1.74881
"rs0145",9.39000,-18.6908,-18.6724,-1.56562
"rs0146",9.19000,-18.9088,-18.9007,-1.20647
"rs0147",9.27000,-18.2075,-18.0567,-0.908272
"rs0148",10.2100,-19.8372,-19.6989,-1.82811
"rs0149",8.95000,-16.3040,-16.0265,-1.08970
"rs1323",8.63000,-16.3061,-16.1225,-1.36967
"rs1324",10.4100,-17.4939,-16.7554,-1.83886
"rs0150",8.83000,-17.1354,-16.9163,-1.34563
"rs0151",8.69000,-16.5658,-16.2604,-0.280003
"rs0152",8.91000,-17.8135,-17.8387,-1.72760
"rs0153",9.29000,-17.4932,-17.1269,-1.03418
"rs0154",8.51000,-15.5336,-15.2083,-1.00104
"rs1325",8.99000,-17.4619,-17.2622,-0.955578
"rs0155",10.3900,-15.8124,-14.5034,-0.708227
"rs0156",9.33000,-18.2402,-18.1108,-1.11889
"rs0157",8.45000,-16.0185,-15.7887,-0.897518
"rs0158",8.49000,-16.1113,-15.9021,-0.895617
"rs0159",10.4100,-17.8452,-17.2880,-1.71905
"rs0160",8.69000,-17.3703,-17.4095,-1.25011
"rs0161",8.29000,-13.1413,-11.1366,-0.603554
"rs0162",10.6300,-17.1993,-16.0988,-1.04790
"rs0163",9.57000,-18.8882,-18.9117,-1.62835
"rs0164",8.59000,-13.8870,-13.2728,-1.53545
"rs0165",8.71000,-16.7600,-16.5632,-1.16802
"rs0166",10.0300,-19.0451,-18.9352,-2.46453
"rs0167",8.59000,-15.8988,-15.6846,-1.33514
"rs0168",9.05000,-17.7662,-17.6442,-0.867538
"rs1326",10.0500,-19.3316,-19.0716,-0.832073
"rs0169",9.97000,-14.9610,-13.4655,-0.721914
"rs0170",8.51000,-17.0127,-16.9986,-1.24648
"rs0171",8.73000,-16.5117,-16.3314,-1.39251
"rs0172",9.17000,-17.9341,-17.8197,-1.29975
"rs0173",8.39000,-16.8732,-16.9205,-1.90904
"rs0174",8.69000,-16.7804,-16.6310,-0.808983
"rs0175",9.85000,-17.8846,-17.6659,-1.92844
"rs0176",9.01000,-16.3164,-16.0249,-1.86604
"rs0177",8.31000,-15.9888,-15.8233,-0.636150
"rs0178",8.65000,-16.4724,-16.3090,-1.30626
"rs0179",8.73000,-16.8856,-16.8746,-1.36969
"rs0180",9.09000,-18.0563,-18.0690,-1.94602
"rs0181",10.7300,-18.8500,-18.5370,-1.52144
"rs0182",9.07000,-17.2231,-17.1198,-1.61308
"rs0183",9.91000,-18.3059,-18.0457,-1.90125
"rs0184",8.43000,-15.9475,-15.8144,-1.19223
"rs0185",9.47000,-17.7845,-17.7369,-1.77061
"rs0186",8.71000,-15.8529,-15.5000,-1.40615
"rs0187",9.65000,-15.2830,-14.4607,-1.26093
"rs0188",9.45000,-18.5286,-18.4199,-1.30338
"rs0189",9.95000,-16.0945,-15.6612,-1.50686
"rs0190",10.2100,-17.8375,-17.5535,-1.58007
"rs0191",10.6100,-17.6465,-17.0464,-1.58022
"rs0192",9.07000,-17.3962,-17.2058,-1.24936
"rs0193",9.17000,-17.7795,-17.6294,-0.884964
"rs0194",9.91000,-16.5931,-16.2713,-1.64429
"rs0195",9.97000,-18.7499,-18.5633,-1.66095
"rs0196",10.8100,-16.4609,-15.1631,-0.671072
"rs0197",10.6900,-15.9695,-14.6189,-0.669195
"rs0198",9.01000,-12.4735,-11.3724,-0.980310
"rs0200",9.17000,-16.0058,-15.3695,-1.76855
"rs0199",8.73000,-12.4860,-10.5061,-0.772142
"rs0201",10.1500,-17.5649,-17.2645,-1.58786
"rs0202",10.2500,-17.6947,-17.3459,-1.67182
"rs0203",9.59000,-16.2431,-15.7290,-1.37425
"rs0204",8.81000,-13.5752,-12.3941,-1.64069
"rs0205",10.9300,-17.1406,-15.8555,-0.726244
"rs0206",9.85000,-17.9256,-17.7886,-1.80199
"rs0207",8.05000,-16.2541,-16.3121,-0.807108
"rs0208",10.6300,-18.8730,-18.5190,-1.64256
"rs0209",9.61000,-18.2746,-18.1750,-1.69922
"rs0210",8.37000,-16.5235,-16.4840,-0.804062
"rs0211",9.85000,-16.6158,-16.1848,-1.60792
"rs0212",8.77000,-16.3551,-15.9937,-0.597944
"rs0213",8.81000,-17.1028,-16.9573,-0.943985
"rs0214",9.05000,-16.8130,-16.6076,-1.28885
"rs0215",8.31000,-16.7291,-16.7537,-0.937954
"rs0216",8.47000,-16.2727,-16.2565,-1.11819
"rs0217",8.13000,-15.2508,-15.0062,-0.552013
"rs0218",9.03000,-17.7291,-17.5515,-0.863926
"rs0219",7.97000,-16.5006,-16.6067,-3.81470e-06
"rs0220",8.51000,-17.3935,-17.4804,-1.27609
"rs0221",9.21000,-18.1150,-18.0689,-1.51698
"rs0222",9.81000,-19.3522,-19.2459,-1.39243
"rs0223",8.39000,-14.9412,-14.3092,-1.37302
"rs0224",8.55000,-16.3127,-16.1410,-1.30944
"rs0225",9.21000,-17.8875,-17.7448,-1.33380
"rs0226",8.87000,-18.0080,-18.0711,-1.63470
"rs0227",9.85000,-19.0481,-18.8685,-1.28666
"rs0228",8.53000,-16.4271,-16.2633,-0.792645
"rs0230",8.31000,-15.0349,-14.7313,-1.74113
"rs0231",9.27000,-17.2492,-17.0109,-0.969761
"rs1329",8.57000,-16.1128,-15.8086,-0.434511
"rs0232",8.57000,-16.8845,-16.7565,-0.751858
"rs0233",8.31000,-16.1219,-16.0883,-1.94912
"rs0234",8.97000,-16.1892,-15.8872,-1.19104
"rs0235",8.03000,-15.7981,-15.7831,-1.20528
"rs0236",8.83000,-17.3308,-17.3113,-1.79047
"rs0237",9.77000,-15.1490,-14.7302,-1.33962
"rs0238",8.29000,-15.1889,-14.7467,-1.04943
"rs0239",10.0900,-16.3170,-15.6457,-1.61751
"rs0240",10.0500,-19.6513,-19.6438,-1.90557
"rs0241",8.77000,-17.2350,-17.2177,-1.81805
"rs0242",9.29000,-16.6828,-16.3732,-1.31877
"rs0243",9.79000,-20.1540,-20.1494,-1.44540
"rs0244",10.5500,-20.2631,-20.1935,-1.89439
"rs0246",8.51000,-16.3299,-16.0947,-0.377258
"rs0247",8.35000,-15.9927,-15.7521,-0.249714
"rs0248",8.13000,-15.0007,-14.7160,-0.691778
"rs0249",8.45000,-15.5805,-15.2142,-1.16908
"rs0250",10.4100,-17.8183,-17.4666,-1.52198
"rs0251",8.55000,-15.7042,-15.4469,-1.07661
"rs0252",8.21000,-15.5567,-15.4031,-0.861362
"rs0253",10.4100,-15.8556,-14.5425,-0.856710
"rs0254",10.1300,-18.9124,-18.7992,-1.60461
"rs0255",8.85000,-17.5382,-17.4739,-0.951382
"rs0256",9.33000,-18.7704,-18.6533,-0.496819
"rs0257",8.67000,-16.8682,-16.7201,-1.12539
"rs0258",8.43000,-17.0364,-17.0842,-1.49134
"rs0259",10.0500,-18.5961,-18.3100,-1.02725
"rs0260",9.77000,-19.5946,-19.4105,-1.90533
"rs0261",10.1500,-18.2216,-17.9746,-1.71556
"rs0262",8.59000,-17.6580,-17.7456,-1.69676
"rs0263",9.83000,-19.2292,-19.1304,-1.96326
"rs0264",8.57000,-16.4086,-16.1888,-0.648518
"rs0265",7.99000,-15.6399,-15.5553,-0.314022
"rs0266",10.0100,-16.3725,-15.1514,-1.46236
"rs0267",10.2100,-18.2452,-17.4357,-1.78816
"rs0268",10.8100,-16.7474,-15.4845,-0.718584
"rs0269",9.03000,-18.1648,-18.2279,-1.79910
"rs0270",9.75000,-19.8883,-19.8542,-2.09294
"rs0271",8.77000,-17.1778,-17.0317,-0.897358
"rs0272",8.07000,-15.3940,-15.2816,-1.26965
"rs0273",9.01000,-17.3034,-17.1123,-1.45683
"rs0274",9.37000,-18.4157,-18.3757,-1.27850
"rs0275",8.95000,-17.7083,-17.6119,-1.00253
"rs0276",8.89000,-17.6374,-17.5984,-1.39626
"rs0277",8.53000,-15.9223,-15.6910,-1.18965
"rs0278",9.61000,-17.9610,-17.7224,-1.32148
"rs0279",10.2100,-15.2958,-13.7828,-0.929359
"rs1330",8.41000,-16.6556,-16.6326,-2.03225
"rs0280",9.53000,-18.5426,-18.5015,-1.79045
"rs0281",8.01000,-15.4840,-15.4727,-1.18837
"rs0282",9.75000,-18.4500,-18.3892,-1.76657
"rs0283",9.11000,-17.5732,-17.3267,-0.783115
"rs0284",8.57000,-16.6191,-16.5200,-1.07088
"rs0285",8.23000,-15.6334,-15.5074,-1.38813
"rs0286",8.43000,-15.3447,-15.0845,-1.46868
"rs0288",10.4500,-18.9136,-18.7547,-1.60638
"rs0289",8.99000,-17.1903,-17.0410,-1.37182
"rs0290",8.51000,-16.7392,-16.5921,-0.150105
"rs0291",8.13000,-15.7849,-15.7241,-0.918674
"rs0292",8.39000,-16.5749,-16.5889,-1.65757
"rs0293",7.93000,-15.3104,-15.1901,-0.330858
"rs0295",8.27000,-15.2450,-14.9477,-0.974466
"rs0296",8.59000,-17.5220,-17.4921,-0.496044
"rs0297",8.47000,-15.7773,-15.5487,-1.03013
"rs0298",8.09000,-14.8596,-14.5320,-0.842430
"rs0299",10.2900,-19.3164,-19.1274,-2.09160
"rs0300",8.53000,-16.1665,-15.9190,-0.506800
"rs0301",8.43000,-15.7114,-15.5828,-0.745914
"rs0302",8.03000,-16.4807,-16.5869,-0.486275
"rs0303",8.67000,-17.2994,-17.2772,-1.25896
"rs0304",7.75000,-14.6827,-14.5270,-0.582947
"rs0305",8.39000,-16.6416,-16.5996,-0.852791
"rs0306",9.77000,-16.5490,-16.2541,-1.72459
"rs0307",8.05000,-14.5991,-14.1545,-0.806425
"rs0308",9.55000,-18.8962,-18.6919,-0.809216
"rs0309",8.45000,-14.9645,-14.5952,-1.88809
"rs0310",10.6900,-16.2072,-14.8178,-0.823040
"rs1331",8.53000,-15.7216,-15.4654,-1.13724
"rs0311",8.15000,-16.3653,-16.3832,-1.09805
"rs0312",7.91000,-14.7373,-14.5561,-1.10626
"rs0313",9.71000,-19.0927,-19.0321,-1.92009
"rs0314",9.39000,-19.5884,-19.6065,-2.05684
"rs0315",9.73000,-18.3324,-18.0716,-2.01929
"rs0316",9.87000,-18.8784,-18.7211,-2.48184
"rs0317",8.45000,-16.6207,-16.5328,-1.20003
"rs0318",8.11000,-16.5821,-16.6303,-0.860626
"rs0320",9.71000,-17.6947,-17.6068,-1.70323
"rs0321",8.93000,-17.4935,-17.3303,-0.655727
"rs0322",8.51000,-16.1725,-15.9712,-1.37723
"rs0323",9.19000,-17.1858,-17.0286,-1.91950
"rs0324",9.57000,-17.1236,-16.6346,-1.05030
"rs0325",8.51000,-16.1075,-15.8633,-0.860620
"rs0326",7.65000,-13.9231,-13.6126,-0.591888
"rs0327",8.45000,-16.4628,-16.3854,-1.64365
"rs0328",8.89000,-16.6146,-16.3287,-0.884682
"rs0329",9.87000,-16.9247,-16.5619,-1.59924
"rs0330",8.75000,-17.4358,-17.4644,-1.36671
"rs0331",9.69000,-17.3975,-17.1537,-1.61354
"rs0332",8.51000,-15.5319,-14.8541,-0.109972
"rs0333",7.85000,-13.8658,-13.4899,-1.45775
"rs0334",9.25000,-18.6214,-18.6130,-1.32664
"rs0335",10.2100,-19.1463,-19.0569,-2.03653
"rs0336",9.05000,-17.6202,-17.4155,-1.05805
"rs0337",9.31000,-19.4460,-19.5323,-2.04794
"rs0338",8.27000,-15.2219,-14.8489,-0.664801
"rs0339",9.19000,-17.5127,-17.4363,-1.85791
"rs0340",8.83000,-16.8780,-16.7743,-1.52082
"rs0341",8.73000,-17.3025,-17.1927,-0.831429
"rs0342",7.99000,-15.3982,-15.2831,-0.669996
"rs0343",8.55000,-16.7206,-16.6002,-0.814083
"rs0344",8.93000,-16.6287,-16.3815,-1.11510
"rs0345",8.25000,-15.8120,-15.6954,-1.00718
"rs0346",8.43000,-16.0464,-15.8812,-1.23614
"rs0347",9.85000,-19.6202,-19.5254,-1.10310
"rs0348",8.15000,-15.6776,-15.4656,-0.324135
"rs0349",8.43000,-16.8770,-16.8224,-0.294876
"rs0350",8.93000,-18.3364,-18.4078,-1.75657
"rs0351",10.6900,-16.6733,-15.4303,-0.926897
"rs0352",8.99000,-13.2086,-11.6795,-1.02677
"rs0353",8.67000,-15.9926,-15.7580,-1.45712
"rs0354",8.59000,-17.1117,-17.0810,-0.921719
"rs0356",10.2500,-19.0347,-18.7446,-1.92369
"rs0357",8.13000,-14.8466,-14.5159,-0.437639
"rs0358",9.49000,-18.4851,-18.3350,-1.09729
"rs0360",8.15000,-15.9379,-15.8251,-0.461929
"rs0361",8.97000,-13.0433,-11.0863,-0.784161
"rs0362",10.3300,-15.9956,-14.9994,-1.21216
"rs0363",8.75000,-17.0510,-16.8105,-0.0400963
"rs0364",8.51000,-16.1630,-15.9721,-1.06748
"rs0365",8.95000,-17.5817,-17.4218,-0.936970
"rs0366",9.89000,-14.8313,-13.2129,-0.629858
"rs0367",8.51000,-16.0084,-15.7711,-1.00298
"rs0368",8.15000,-15.5970,-15.4333,-0.672588
"rs0369",8.01000,-14.7224,-14.4048,-1.15476
"rs0370",7.89000,-14.7718,-14.5515,-0.599741
"rs0371",9.55000,-18.5073,-18.3457,-1.64947
"rs0372",8.45000,-16.9727,-16.9890,-1.25283
"rs0373",9.25000,-18.9233,-18.9336,-1.27358
"rs0374",8.65000,-16.5421,-16.4714,-1.34502
"rs0375",8.29000,-16.1528,-16.0350,-0.384731
"rs0376",9.33000,-18.0926,-17.9267,-1.40153
"rs0377",9.39000,-18.4223,-18.1541,-1.44189
"rs0378",9.51000,-18.4731,-18.4838,-2.02377
"rs0379",8.61000,-16.1897,-15.9881,-1.22420
"rs0380",8.99000,-18.0234,-17.9513,-1.96439
"rs0381",8.69000,-16.7476,-16.6005,-0.782070
"rs0382",10.3300,-19.4639,-19.2216,-1.72133
"rs0383",10.7700,-16.6155,-15.2349,-0.718996
"rs0384",8.83000,-17.5647,-17.4912,-0.936054
"rs0385",8.99000,-15.1993,-14.5131,-1.60916
"rs0386",9.01000,-16.9497,-16.8217,-1.26377
"rs0387",8.59000,-15.9913,-15.6878,-0.995003
"rs0388",8.21000,-15.9826,-15.8577,-0.666117
"rs0389",8.71000,-16.8740,-16.8030,-1.97705
"rs0390",10.9500,-18.8731,-18.1024,-1.78301
"rs0391",9.37000,-18.2396,-18.0754,-0.904011
"rs0392",8.77000,-17.8658,-17.9037,-1.53632
"rs0393",8.99000,-17.4433,-17.2630,-1.17485
"rs0394",8.29000,-16.1153,-15.9693,-0.413235
"rs0395",8.47000,-16.5861,-16.5549,-1.45351
"rs0396",10.5500,-18.1329,-17.8003,-1.44870
"rs0397",9.75000,-15.3447,-13.9739,-1.15241
"rs0398",9.75000,-18.1600,-17.8661,-1.90752
"rs0399",10.1900,-15.0306,-13.7602,-0.807930
"rs0401",9.53000,-18.6454,-18.5429,-1.15642
"rs0402",10.7500,-16.6221,-15.3470,-0.919174
"rs0403",8.65000,-14.3368,-12.8255,-1.08575
"rs0404",8.23000,-16.3047,-16.2651,-0.696211
"rs0405",10.7700,-18.8632,-18.5226,-1.62590
"rs0406",9.73000,-17.0394,-16.7057,-1.77455
"rs0407",9.71000,-14.8629,-13.4387,-1.14113
"rs0408",8.73000,-16.2693,-15.9948,-1.12612
"rs0409",9.41000,-18.1161,-17.9316,-1.16622
"rs0410",8.55000,-16.6206,-16.4188,-0.514183
"rs0411",8.75000,-16.5546,-16.3664,-1.31814
"rs0412",7.87000,-14.2262,-13.8576,-1.00921
"rs0413",7.65000,-14.2350,-14.0283,-0.472219
"rs0414",8.03000,-16.2106,-16.2664,-1.08173
"rs1332",8.75000,-16.8738,-16.6760,-0.639915
"rs0415",8.05000,-16.3999,-16.4879,-0.553749
"rs0416",8.35000,-16.8872,-16.9752,-0.987919
"rs0417",8.59000,-16.2872,-15.9767,-0.439528
"rs0418",8.59000,-17.0420,-16.9219,-0.0760803
"rs0419",9.19000,-17.5251,-17.4631,-1.89814
"rs0420",10.1300,-18.8812,-18.5942,-2.37490
"rs0421",8.49000,-16.6386,-16.5412,-0.680565
"rs0422",8.37000,-16.5493,-16.4998,-0.994560
"rs0423",8.75000,-16.6976,-16.4951,-0.924103
"rs0424",8.47000,-16.9475,-16.9777,-1.42147
"rs0425",9.53000,-18.8734,-18.8669,-1.98753
"rs0426",8.75000,-13.8091,-13.8157,-1.04256
"rs0427",8.65000,-16.0900,-15.6608,-0.446493
"rs0428",8.69000,-16.5692,-16.3697,-1.40752
"rs0429",8.73000,-16.5023,-16.2913,-1.39964
"rs0430",8.41000,-16.3875,-16.2537,-0.521751
"rs0431",7.85000,-14.3879,-14.0615,-0.516087
"rs0432",8.55000,-17.5611,-17.6280,-0.785789
"rs0433",9.17000,-17.2433,-17.0170,-1.44608
"rs0434",8.39000,-15.8363,-15.6450,-1.21953
"rs0435",8.89000,-16.5160,-16.3167,-1.35486
"rs0436",10.1300,-19.4501,-19.2920,-2.30460
"rs0437",8.51000,-16.3375,-16.1929,-0.972059
"rs0438",8.53000,-14.8415,-14.0255,-1.67116
"rs0439",9.35000,-18.4536,-18.3793,-1.13155
"rs0440",10.0900,-18.3681,-18.1329,-1.73269
"rs0441",8.25000,-15.1261,-14.7179,-0.607601
"rs0442",8.37000,-15.9033,-15.6458,-0.325102
"rs0443",8.37000,-15.9163,-15.9391,-0.548660
"rs0444",9.17000,-17.9749,-17.8143,-0.962090
"rs0445",8.89000,-13.5977,-11.6690,-0.956381
"rs0446",9.97000,-17.4998,-15.6177,-1.07363
"rs1333",10.7700,-17.5363,-16.5794,-1.41669
"rs1334",9.53000,-16.5282,-14.6451,-0.962723
"rs1335",10.0700,-16.4151,-14.5219,-1.29749
"rs0447",8.99000,-16.9172,-16.6289,-1.45552
"rs1336",10.4100,-18.6701,-18.3324,-1.76130
"rs0448",8.77000,-16.9476,-16.8670,-1.43731
"rs0449",9.79000,-18.8949,-18.7857,-1.83576
"rs0450",7.67000,-14.7547,-14.6304,-0.0829830
"rs0451",10.5900,-19.4781,-19.2339,-1.82041
"rs0452",9.57000,-18.4991,-18.4135,-2.18126
"rs0453",9.67000,-19.5268,-19.5686,-2.22291
"rs0454",9.21000,-17.2338,-17.0738,-1.68468
"rs0455",7.69000,-15.5765,-15.6587,-0.392998
"rs0456",9.01000,-16.4707,-16.2456,-1.21093
"rs0457",8.07000,-15.3333,-15.1823,-0.822817
"rs0458",9.65000,-18.3638,-18.2612,-1.30475
"rs0459",7.91000,-14.8026,-14.6323,-0.674582
"rs0460",8.61000,-17.0392,-16.9277,-0.398853
"rs0461",10.0500,-19.8218,-19.6885,-1.34781
"rs0462",8.17000,-15.7761,-15.7139,-1.11793
"rs0463",8.81000,-18.1776,-18.2607,-1.20949
"rs0464",8.29000,-15.8020,-15.6252,-0.905584
"rs0465",7.79000,-15.2424,-15.1975,-0.605976
"rs0466",10.5100,-20.1874,-20.0948,-2.02192
"rs0467",8.33000,-15.7001,-15.5195,-1.19434
"rs0468",9.17000,-18.1608,-18.0912,-1.45962
"rs0469",8.53000,-17.4936,-17.5366,-0.862339
"rs0470",8.93000,-16.7720,-16.4609,-1.10074
"rs0471",7.99000,-15.0596,-14.7991,-0.204203
"rs0472",8.33000,-16.5684,-16.5273,-0.619041
"rs0473",8.47000,-16.4170,-16.2149,-0.146999
"rs0474",8.55000,-16.5570,-16.3951,-0.798553
