Title:	Dwarf	Galaxies	with	Optical	Signatures	of	Active	Massive	Black	Holes				
	86	66343	J115359.06+130853.6	1609-53142-606	0.0226	9.3	-17.59	0.67	0.71	3.131				
	87	102191	J115717.47+280708.5	2223-53793-618	0.0221	9.35	-17.73	0.62	1.46	0.956				
	88	52494	J115812.53+575322.1	1313-52790-490	0.0415	9.33	-18.18	0.5	1.18	2.701				
	89	32762	J115922.33+511809.2	882-52370-286	0.0297	9.26	-17.32	0.78	0.97	6				
	90	60536	J121155.68+465854.5	1449-53116-25	0.0033	8.12	-15.16	0.45	0.89	0.755				
	91	118505	J121813.43+200436.8	2611-54477-394	0.0457	9.29	-19.08	0.39	2.28	3.509				
	92	30845	J122024.30+053422.3	844-52378-628	0.0031	9.22	-16.75	0.87	0.52	1.917				
	93	102682	J122042.09+292045.1	2230-53799-27	0.0021	9.05	-16.88	0.57	0.85	1.101				
	94	161692	J122505.40+051945.9	2880-54509-503	0.0066	9.29	-17.27	0.67	0.65	2.363				
	95	49099	J122815.93+092610.7	1232-52731-236	0.0012	8.6	-15.5	0.72	0.49	0.786				
	96	49147	J124033.86+092728.4	1233-52734-69	0.0278	9.48	-18.1	0.59	0.97	2.238				
	97	31028	J124957.86+051841.0	847-52426-556	0.0022	9.2	-18.16	0.35	1	1.014				
	98	61479	J130916.09+415449.4	1460-53138-372	0.0292	9.15	-17.53	0.5	1.45	0.734				
	99	88928	J131007.09+300056.0	2009-53904-411	0.0354	9.46	-17.46	0.87	0.96	2.504				
100	86723	J132156.41+384405.0	1977-53475-184	0.0033	9.46	-18.93	0.4	2.33	1.433					
101	93806	J132532.34+315333.1	2112-53534-96	0.0379	9.33	-18.62	0.37	1.17	4.031					
102	1933	J133815.38-002354.7	299-51671-222	0.022	9.11	-18.87	0.24	1.6	0.991					
103	120205	J134130.13+242852.0	2666-54230-407	0.0284	9.41	-17.87	0.59	1.27	0.738					
104	68953	J134156.14+500642.4	1669-53433-168	0.0372	9.32	-18.11	0.53	3.89	1.213					
105	56478	J135125.37+401247.7	1378-53061-388	0.0082	9.04	-18.52	0.25	1.48	6					
106	43037	J140116.05+515223.0	1044-52468-240	0.0075	9.36	-17.48	0.78	0.54	5.911					
107	51305	J140727.51+470523.7	1286-52725-425	0.043	9.35	-18.4	0.63	1.39	1.197					
108	69037	J140735.48+503243.0	1671-53446-455	0.0068	8.79	-16.23	0.68	0.77	0.967					
109	2064	J141120.29-002950.7	302-51688-72	0.0252	9.35	-17.39	0.77	1.09	1.553					
110	122696	J141438.18+200405.8	2772-54529-560	0.0287	9.2	-18.14	0.39	3.21	2.465					
111	71219	J142720.32+110053.0	1707-53885-617	0.0275	9.45	-18.4	0.47	2.57	1.022					
112	95676	J143146.75+261624.3	2135-53827-453	0.0155	9.43	-17.59	0.76	0.52	5.997					
113	53401	J143859.15+510714.7	1327-52781-88	0.0073	9.47	-17.74	0.73	1.86	1.358					
114	123877	J144252.78+205451.6	2789-54555-485	0.0427	9.08	-18.8	0.23	1.06	5.523					
115	79150	J145518.50+081606.4	1814-54555-604	0.0361	9.32	-17.97	0.55	0.98	1.351					
116	80770	J151422.89+060308.3	1832-54259-626	0.0238	9.46	-18.4	0.76	0.92	5.9					
117	72482	J151608.80+084531.9	1719-53876-103	0.035	9.46	-18.29	0.48	1.03	1.644					
118	166155	J152303.80+114546.0	2753-54234-127	0.0243	9.35	-18.38	0.37	6.66	1.703					
119	79874	J152637.36+065941.6	1819-54540-496	0.0384	9.33	-18.65	0.25	0.82	4.239					
120	72952	J152913.46+083010.6	1723-53905-378	0.043	9.3	-19.77	0.27	1.71	6					
121	121159	J153031.44+124654.3	2754-54240-417	0.0529	9.34	-19.83	0.23	1.42	3.348					
122	56919	J153056.85+313649.4	1388-53119-466	0.0365	9.4	-19.18	0.29	0.92	6					
123	18913		J153425.58+040806.6	593-52026-547	0.0395	9.12	-18.16	0.35	2.02	2.718				
124	166312	J153631.00+162625.9	2795-54563-188	0.0063	9.07	-17.47	0.45	1.79	0.885					
125	57536	J154703.20+341319.4	1403-53227-388	0.0395	9.42	-18.75	0.74	0.99	5.536					
126	114518	J160230.77+142913.2	2521-54538-65	0.0336	9.24	-18.11	0.45	1.91	0.972					
127	99052		J160531.84+174826.1	2196-53534-561	0.0317	9.24	-17.46	0.61	1	1.262				
128	73346	J160544.57+085043.9	1728-53228-632	0.0154	9.45	-17.83	0.62	0.93	1.496					
129	20438	J160958.68+535011.7	621-52055-640	0.0176	9.02	-17.51	0.39	3.47	3.018					
130	46135	J162104.14+402322.4	1172-52759-321	0.0333	9.46	-17.8	0.71	0.93	6					
131	20724	J162514.64+484316.9	625-52145-194	0.0207	9.21	-17.43	0.53	0.58	5.971					
132	58455	J163210.87+290130.5	1421-53149-627	0.037	9.36	-18.54	0.41	1.42	3.477					
133	70104	J170104.49+255207.9	1692-53473-34	0.0386	9.44	-19.73	0.23	1.07	5.989					
134	167330	J171830.90+603507.0	354-51792-278	0.013	9.47	-18.17	0.55	0.86	2.206					
135	4308	J173202.96+595855.0	354-51792-2	0.0291	9.39	-18.91	0.39	5.08	6					
136	5563	J235609.14-002428.6	386-51788-30	0.0256	9.21	-18.68	0.31	4	1.757					
