name,oii_3726_flux,oii_3726_flux_err,oii_3729_flux,oii_3729_flux_err,neiii_3869_flux,neiii_3869_flux_err,h_delta_flux,h_delta_flux_err,h_gamma_flux,h_gamma_flux_err,oiii_4363_flux,oiii_4363_flux_err,h_beta_flux,h_beta_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err,hei_5876_flux,hei_5876_flux_err,oi_6300_flux,oi_6300_flux_err,nii_6548_flux,nii_6548_flux_err,h_alpha_flux,h_alpha_flux_err,nii_6584_flux,nii_6584_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,ariii7135_flux,ariii7135_flux_err,oii_flux,oii_flux_err,oiii_flux,oiii_flux_err,Flux_HeII_3203,Flux_HeII_3203_Err,Flux_OII_3726,Flux_OII_3726_Err,Flux_OII_3728,Flux_OII_3728_Err,Flux_NeIII_3868,Flux_NeIII_3868_Err,Flux_Hd_4101,Flux_Hd_4101_Err,Flux_Hg_4340,Flux_Hg_4340_Err,Flux_OIII_4363,Flux_OIII_4363_Err,Flux_HeII_4685,Flux_HeII_4685_Err,Flux_ArIV_4711,Flux_ArIV_4711_Err,Flux_Hb_4861,Flux_Hb_4861_Err,Flux_OIII_4958,Flux_OIII_4958_Err,Flux_OIII_5006,Flux_OIII_5006_Err,Flux_HeI_5875,Flux_HeI_5875_Err,Flux_OI_6300,Flux_OI_6300_Err,Flux_NII_6547,Flux_NII_6547_Err,Flux_Ha_6562,Flux_Ha_6562_Err,Flux_NII_6583,Flux_NII_6583_Err,Flux_SII_6716,Flux_SII_6716_Err,Flux_SII_6730,Flux_SII_6730_Err
rf0606,0,-0.7579371,0,-0.7579371,-6.514018,5.053228,9.014775,4.387951,7.393912,3.308759,-7.036455,2.404813,7.112805,2.583343,0.5343974,1.846662,0.8852873,1.723794,2.037775,2.321862,1.173858,1.314626,0.8177009,0.3562508,-3.332592,1.419876,2.466375,1.074533,-0.278435,1.270485,0.7418438,1.148255,1.297701,1.237991,0,1.071885,0.9075527,1.735496,0,0,34.82796,6565.132,-9999,0,0,0,0.7044479,112.8426,4.414001,10.44286,0,0,0,0,0,0,9.450284,4.988761,0.2688694,7.210903,0.7681983,20.60258,0,0,0.7970068,9.27013,1.415357,1.176812,0.743212,13.09638,4.162816,3.46121,0,0,1.082677,7.826596
rf0565,0,-9.98E+07,0,-9.98E+07,1.09E+09,5.48E+08,4.55E+08,3.17E+08,-4.24E+07,2.58E+08,3.70E+07,3.05E+08,7.94E+08,2.14E+08,2.72E+08,2.23E+08,1.93E+08,2.21E+08,5.10E+07,2.10E+08,1.86E+08,1.70E+08,1.15E+08,5.05E+07,1.87E+09,1.69E+08,3.46E+08,1.52E+08,9.53E+08,1.93E+08,4.91E+08,1.58E+08,3.88E+08,1.89E+08,0,1.41E+08,2.59E+08,1.81E+08,0,0,370.4333,10554,5.565409,171.3363,6.082251,12.72223,4.595325,7.576846,0.6264808,26.01329,0,0,0,0,0,0,9.296611,3.699564,1.579763,1.350713,4.51361,3.859179,0.801635,16.88689,1.753241,5.178672,0.9982978,1.135225,18.06326,4.006162,2.93617,3.338897,6.826439,2.765894,2.63804,3.535303
rs0741,0,-0.6507378,0,-0.6507378,3.032912,4.614803,35.19705,3.918329,63.94424,4.067197,0.6827222,3.938709,180.9433,4.735213,16.87894,3.776193,39.95856,4.034958,25.39589,3.873483,26.30356,3.90347,115.0537,2.087934,937.9538,10.27095,347.0284,6.297685,114.864,4.768501,82.43607,4.755246,5.535059,4.550279,0,0.9202822,37.32656,4.354167,0,0,0,0,0,0,0,0,231.7713,44.56919,405.3768,45.02959,0,0,6.304923,86.77357,4.86647,122.7409,851.3974,33.80618,64.00928,9.314418,182.8837,26.61262,154.7267,34.47485,75.6252,21.09809,382.5284,10.66751,2975.315,51.43173,1125.083,31.37502,320.4881,25.55754,244.3925,22.80708
rf0081,0,-0.7230669,0,-0.7230669,0.6295372,3.505464,0.9523467,2.989307,2.399918,2.425045,3.32213,2.461172,3.519355,1.947751,1.521985,1.960463,0.8935217,1.945615,0.1881851,2.01585,0.5717022,1.54028,0.5663539,0.448279,3.033026,1.260118,1.708254,1.352111,-1.443175,1.821089,-2.220807,1.394764,-1.801625,1.547579,0,1.022571,-0.3594545,1.992632,0,0,0,0,0,0,0,0,11.69878,8.443777,11.39568,347.5135,0,0,0,0,0,0,37.36972,14.21492,3.971534,3.722328,11.34724,10.63522,7.146966,13.25576,5.017526,9.907132,1.497508,16.59457,10.76217,26.97194,4.404435,48.80755,0,0,0,0
rs0486,0,-0.782912,0,-0.782912,4.58725,2.893487,1.408037,2.580146,7.214753,1.831849,-3.322417,1.708005,9.342494,1.535407,6.164316,1.410653,24.49205,1.845954,0.5356467,1.528322,1.189438,0.8779372,0.6876494,0.2874524,36.4747,1.287351,2.07411,0.8670217,208.8181,255.0827,3.930218,0.8627998,-0.2002019,0.970377,0,1.107205,24.41887,1.863643,0,0,10.809,17.52653,2.66E+19,1.77E+15,6.195964,10.48526,0,15.83507,8.840124,6.480122,0,0,0,0,2.36607,9.525028,10.62954,4.239586,9.838154,2.082215,28.10901,5.949185,0.5313293,22.74408,2.41524,2.851643,0.8299672,0.8794622,39.43226,5.813216,2.44108,2.586653,7.422845,4.074264,5.128322,2.694115
rs0231,0,-0.7823381,0,-0.7823381,7.524296,3.963303,21.21786,2.665852,38.85261,2.336788,0.284326,2.291463,91.71207,2.445191,37.77684,2.182014,110.6021,2.789713,9.776988,1.843284,9.882036,1.431526,19.86878,0.5542586,300.3793,3.299211,59.92883,1.67177,69.95116,2.126683,52.49132,1.885489,6.488066,1.571393,0,1.106393,109.7402,2.906536,0,0,0,0,4.17E+10,1.23E+07,11.8265,12.44683,25.24351,5.390351,49.46086,5.544683,0,0,6.70875,7.787952,0,0,117.5064,5.147165,49.17204,2.175068,140.4915,6.214479,12.80957,4.464724,12.98671,2.784063,26.08148,1.119725,387.8857,9.837225,76.71023,3.293308,87.08112,3.696811,68.77937,3.430016
rs0162,0,-0.7702861,0,-0.7702861,-15.29089,6.966462,-3.160347,6.769307,0.8968608,7.265227,3.565373,9.162486,20.60268,8.75071,41.99685,10.90631,94.98922,10.97308,14.83903,10.6581,26.20621,14.08237,112.3316,6.088014,202.5536,16.94968,338.8182,18.36283,89.30273,15.75854,75.54424,15.85646,-46.45201,15.1381,0,1.089349,100.9424,13.18743,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.20189,19.49708,73.84679,21.13527,153.6706,13.39713,244.4867,29.98589,451.9723,39.40333,157.5232,25.01047,151.753,31.84546
rs0113,0,-0.775634,-5.28E+07,3.69E+07,-15.03851,9.342122,133.7377,7.331209,225.5899,7.358959,12.24036,6.476851,559.8575,8.638433,41.9003,5.877508,154.9578,6.506641,69.95999,5.640152,58.85628,5.509096,370.9044,3.685581,2789.282,21.41471,1118.733,11.11655,449.4258,9.202345,340.9645,7.98132,9.825665,5.9532,204.8977,1073.586,158.3781,7.501169,0,0,0,0,3104.081,222.0489,4813.677,0,705.8153,72.42048,1031.76,66.7646,245.299,116.9388,58.19808,44.62134,0.3131256,0,2174.368,57.15302,207.4901,14.10241,592.8288,40.29261,300.6172,37.22486,173.0371,32.69654,1068.115,19.03285,7823.535,108.1978,3141.514,55.97898,1192.527,42.56841,909.3499,41.46269
rs1318,3342.757,2074.798,150.6454,37.96225,21.99185,6.890113,180.1198,5.474203,326.5699,5.904315,0.8912179,4.057778,752.7994,8.207307,29.69737,3.502215,80.9899,3.804817,67.9058,3.367107,27.33236,2.711206,350.8404,2.494897,3113.825,20.90252,1058.215,7.525177,344.0594,4.847925,276.6555,4.436977,13.30702,2.699467,3091.121,3845.85,83.89393,4.469872,0,0,737.5319,1750.099,158.5874,4290.484,49.75025,18.62528,301.4374,20.71683,503.9109,24.44468,0,0,23.58519,9.878188,0,0,1094.586,42.32633,43.31437,3.354774,123.7553,9.585068,98.21491,9.132551,34.96302,6.346508,506.0429,13.94559,4370.66,123.3534,1488.361,41.01644,497.9491,19.16659,390.6613,12.55128
rs0043,2.92E+07,5.23E+07,-1309.82,2130.168,33.74841,3.35217,28.39854,2.573198,49.89902,2.51135,2.220516,2.332975,101.0051,2.639626,98.96306,2.601213,300.2103,3.854323,12.63978,1.762476,5.332744,1.272092,6.617037,0.4114302,297.3959,3.047934,19.95851,1.240967,33.7975,1.566805,22.70603,1.599664,7.615974,1.731225,300153.4,1.07E+09,300.4248,3.860133,0,0,429.3936,96.396,126.3095,59.2095,61.53377,10.26558,56.52856,9.65627,83.45596,8.944499,9.99332,0,0,0,0,0,171.755,15.92778,170.7053,13.08413,487.7294,37.38324,19.09254,4.076167,12.41097,4.660253,10.49621,1.065398,459.7118,27.82192,30.87121,3.133523,54.09875,5.1916,37.67418,5.200709
rf0367,40.46965,18.4567,58.86374,10.57883,2.646888,5.768692,6.672674,3.855607,11.33384,3.257366,-0.6985302,3.200848,26.84742,2.777506,27.11702,2.839017,77.41103,3.49453,4.418871,2.689513,6.165458,1.81413,2.890475,0.5500184,117.224,2.659813,8.718339,1.658981,27.16303,2.173806,17.53083,2.133879,0,-0.8208202,102.9153,22.06583,78.31695,3.624223,0,0,166.4292,51.0428,24.29663,81.50789,80.32159,52.33644,9.051323,9.758177,6.100135,9.374622,28.05763,19.72982,0,0,0,0,40.56634,5.989515,32.24843,1.88154,92.13837,5.375827,5.462996,6.109775,9.778007,4.051072,4.222084,1.049005,136.9513,4.184512,12.41789,3.085308,35.06677,4.704376,19.68013,3.397149
rf0333,32.47956,6.270966,31.71357,5.764986,0.6372594,3.467468,11.73116,2.338128,17.73448,2.30426,3.701277,2.080928,35.40261,2.061445,5.984067,1.779876,15.63085,1.890498,4.73497,1.882169,3.292886,1.371051,15.74076,0.5236676,160.5525,2.286429,47.47778,1.579501,51.95988,2.227686,31.4393,1.730171,1.311625,1.67761,62.47759,8.380939,16.1844,2.294225,0,0,190.2504,49.76934,53.54525,44.90783,7.643552,18.88821,45.81554,15.0738,52.69359,11.80683,0,0,0,0,2.230592,13.96726,84.2621,8.172107,12.7788,2.116286,36.51085,6.04653,8.442173,5.258496,5.253785,2.925843,28.4939,1.522985,277.2456,10.35261,83.80557,4.479368,85.71698,6.172669,54.88686,5.318084
rf0299,0,-0.7738217,307872.5,458462.8,7.442617,3.820064,9.420955,2.757873,8.80003,2.312149,-2.790561,2.192427,28.48759,2.066929,13.48257,1.957452,38.9781,2.28403,2.4584,1.860623,3.926334,1.396252,4.813157,0.4356185,98.85044,2.226804,14.51759,1.313925,24.52624,1.571478,19.94417,6.095808,11.17988,27.96513,1.73E+07,3.30E+10,38.59798,2.393852,0,0,61.43936,25.82156,48.30835,30.32907,12.64952,8.526499,14.11613,7.772002,10.20378,4.024541,0,0,4.390081,229.6937,0,0,34.22978,4.72175,17.57638,2.05084,50.21824,5.859544,3.578156,4.184699,7.435578,3.703642,6.317624,1.058277,119.817,7.692451,18.58125,3.112578,31.64039,3.575545,21.51933,5.28405
rf0231,1.21E+07,8.02E+07,-514312.5,2468280,-17.19725,8.006461,-2.494316,3.118664,2.449504,2.719818,-1.741218,6.303411,2.385982,2.426887,-5.439878,6.375,12.40197,6.325851,-4.945282,3.975472,5.84864,5.683241,2.53764,1.798465,10.35016,2.057018,7.654107,5.424581,2.322142,6.448631,-5.747515,6.144969,-16.46549,6.594261,0,1.045356,12.52828,7.318528,0,0,12.02592,0,0,0,0,0,0,0,11.37071,11.38563,5.234359,14.58686,13.51702,131.6707,4.213884,13.24057,12.28598,18.62535,3.051917,4.366223,8.719763,12.47492,0,0,6.473424,14.62927,4.54865,4.448032,0,0,13.37838,13.08245,0,0,0,0
rf0149,0,-0.7598028,0,-0.7598028,-3.766846,4.744952,2.151283,3.609631,13.23129,3.376601,-3.25295,4.347654,14.48024,3.151658,7.657648,4.090823,35.69077,4.61042,1.808825,3.271791,1.086993,3.786502,10.10629,1.412139,42.36446,3.088186,30.48289,4.259333,14.64004,4.136933,2.684187,3.930508,-11.67961,3.963164,0,1.074523,35.17839,5.003186,0,0,-9999,0,1077.557,89698.35,0,0,7.267966,12.31537,25.10846,9.002542,0,0,7.343057,18.46634,0,0,27.1591,6.985467,16.22584,2.602612,46.35955,7.436036,5.344654,16.73576,0,0,12.64898,2.634274,33.9186,6.952347,37.20287,7.747866,7.895151,12.24666,0,0
rf0115,0,-0.7331511,0,-0.7331511,0.09888091,3.162939,4.103735,2.268925,2.874601,2.000779,1.869414,2.193508,5.296917,1.753804,3.479419,1.774219,5.88498,1.9022,0.5889447,1.806901,1.695134,1.555628,5.632787,0.566838,26.44645,1.799252,16.98979,1.709713,10.51406,1.728815,6.178777,1.56697,4.598195,1.781073,0,1.036832,5.340116,1.64687,0,0,65.15543,65.50709,136.1881,270.9715,48.0436,76.31891,24.98726,15.68322,31.38044,19.94511,0,0,0,0,0,0,68.40943,25.01981,8.061666,3.289677,23.03333,9.399076,10.98467,48.93417,9.480356,10.30443,13.12699,1.68062,59.05549,6.870265,38.60879,4.942999,18.97375,8.50747,10.13351,4.631948
rf0047,0,-0.7207483,0,-0.7207483,-4.415342,3.799778,-3.336001,2.670881,0.7056211,2.342344,-6.764415,2.731846,-1.880735,1.997288,0.7355539,2.062848,-1.418857,2.058085,0.07498391,2.053907,-2.532725,1.593151,1.054763,0.5213501,2.712022,1.367186,3.181408,1.57251,1.803142,1.650077,-0.3349926,1.564332,-1.515972,1.96802,0,1.019292,-4.453749,1.974053,0,0,0,0,1.68E+19,4.39E+14,0,0,0,0,0,0,0,0,13.68741,104.3565,0,0,0,0,0,0,0,0,0,45.6279,0,0,2.4327,1.634816,4.131032,19.31787,7.155,4.808282,3.089445,7.053506,3.554376,26.54932
rf0013,0,-0.7255183,0,-0.7255183,324.2892,5.808721,110.0821,3.757731,208.1254,3.904851,33.26093,4.025331,439.3545,4.707479,781.9736,6.6352,2370.675,12.18217,55.21059,3.213437,89.13359,3.539878,390.1551,2.237079,1524.996,8.381107,1176.798,6.747539,416.248,4.884198,315.9723,4.471017,63.65598,3.502255,0,1.026038,2410.961,12.24955,0,0,0,0,2.01E+19,8.06E+13,391.0738,21.23855,134.0791,16.22291,245.4933,13.62538,32.99863,14.48993,107.7607,15.64181,12.2178,10.91604,523.5385,19.23703,976.1805,15.27316,2789.087,43.63759,65.30466,9.728567,104.5875,12.13443,467.5607,10.50479,1726.482,36.96966,1375.178,30.89644,489.928,16.73975,375.1976,15.20619
rf0776,286.5815,218.2204,140.6759,16.81042,25.28114,6.81743,33.06833,4.709961,48.27206,4.361814,2.979108,3.867576,112.2956,4.483966,79.02298,4.226382,224.1665,5.921256,16.94613,3.111682,10.9821,2.336134,13.38461,0.7794378,358.4578,5.394183,40.37106,2.350962,72.84423,3.478748,50.3828,2.821262,8.584556,2.562885,-765.0438,2603.162,224.2948,5.976074,0,0,481.1638,93.76511,182.1278,82.67088,78.31205,25.53592,75.76933,17.45484,83.75542,17.71544,0,0,0,0,4.706259,19.15358,188.713,22.4649,130.9465,12.4197,374.1328,35.48486,25.16148,8.549764,20.32826,5.903126,23.75803,2.630762,557.7347,38.74392,69.87654,7.737535,117.3004,10.50684,81.32434,8.416018
rs1145,0,-0.7549334,0,-0.7549334,6.964826,3.705697,4.908331,2.720226,7.232351,2.843879,0.6591645,2.330997,15.37557,1.897797,7.229654,1.862828,16.28852,1.89505,-2.150242,1.592475,0.546628,1.247866,6.0795,0.4185739,62.93678,1.613753,18.33718,1.262514,17.87238,1.76729,15.15565,1.483954,2.223768,1.426541,0,1.067637,17.36627,2.311397,0,0,3.296778,33.76191,2.05E+25,1.28E+20,11.73818,14.26583,8.390121,10.47154,11.94166,8.553151,8.420028,16.30895,1.420811,31.83741,0,0,22.49995,5.48167,8.307508,1.502788,23.73574,4.293681,0,0,5.174255,6.303394,8.43152,1.071948,82.17892,4.012464,24.79859,3.152787,22.40832,3.539641,19.22572,3.812841
rs0962,0,-0.7302126,0,-0.7302126,-9.357285,4.32871,13.7384,3.187417,33.6943,2.98331,0.5878798,2.829368,69.0981,2.876107,12.51856,2.346416,43.52878,2.679066,9.624986,2.297246,6.876347,1.764915,18.4522,0.6809134,229.6716,3.093103,55.65609,2.05379,50.96276,2.168423,30.65885,1.915015,5.288547,1.842608,0,1.032677,42.73533,2.960747,0,0,-9999,0,-9999,0,0,0,19.10278,0,47.22852,0,0,0,1.352108,0,6.663113,0,102.3668,0,21.66185,0,61.89099,0,11.72236,0,11.09918,0,24.53706,0,295.2921,0,72.16782,0,64.20175,0,41.47744,0
rs0844,0,-0.7482022,0,-0.7482022,1.33728,3.238055,1.022585,2.412677,2.995697,1.903023,-1.169073,1.861473,1.360184,1.539767,3.934281,1.583312,1.72301,1.613251,-1.256166,1.713349,0.7025442,1.262715,-0.190816,0.3961704,3.181143,1.191239,-0.5755453,1.19494,3.996772,1.747988,-2.030896,1.340401,1.296708,1.53388,0,1.058118,2.568591,1.630012,0,0,2.46E+09,2577139,0,0,2.732757,58.4451,20.0407,15.15081,19.84677,13.77178,0,0,0,0,0,0,85.84434,28.20113,3.008347,10.35083,8.595277,29.57379,0,0,1.613601,77.04735,0,0,7.317692,5.906812,0,0,7.674334,31.52291,0,0
rs0775,0,-0.6724831,0,-0.6724831,6.454287,2.348934,5.394866,1.571063,14.75419,1.539809,0.4318804,1.369797,22.74511,1.359972,11.54079,1.199675,33.83376,1.446713,4.106606,1.196767,5.638205,0.8788684,3.10145,0.2605465,71.52011,1.264462,9.35469,0.7858676,17.552,0.9369874,12.36112,1.153462,-1.595613,3.307372,0,0.9510348,34.02277,1.517638,0,0,85.06132,13.93008,63.60224,7.885495,16.96773,8.649113,15.14747,5.516956,27.89698,4.080719,0,0,0,0,4.544698,7.95531,36.62851,3.281448,16.84333,1.013935,48.12379,2.896957,9.58618,3.758193,10.08348,2.543954,4.806846,0.6484277,101.5183,2.599625,14.13778,1.90714,24.30597,1.856748,17.03095,1.948592
rs1333,185.0934,15.2149,242.5441,15.4389,27.04366,5.083752,26.19596,5.678324,41.16081,6.243264,-17.16295,6.704679,68.5118,8.140857,46.98907,8.179317,114.4921,8.387469,-29.1526,7.681519,48.71059,9.709378,66.44428,3.685333,215.8928,11.84324,200.4113,11.1158,105.9598,10.75934,61.5988,10.59452,-22.61565,9.854763,419.1442,41.50989,122.3014,10.07869,0,0,487.5344,1519.141,707.5998,1378.737,20.709,14.08183,70.69609,27.14571,116.8116,33.95906,0,0,0,0,0,0,154.3246,27.99846,69.15555,9.859819,197.5873,28.17091,0,0,87.03719,30.0695,122.7375,13.40476,335.795,34.09631,360.9926,39.42575,164.5922,33.79344,95.57003,30.41723
