name,specobjid,ra,dec,plate,mjd,fiberid
rs0586,3.2099E+17,179.25998,0.49832992,285,51930,396
rs0591,3.21023E+17,180.07504,0.29497975,285,51930,516
rs0595,3.22106E+17,180.27077,0.11376081,286,51999,359
rs0633,3.22109E+17,180.873,1.2293346,286,51999,368
rs0696,3.22131E+17,181.22755,1.2156037,286,51999,449
rs0713,3.22137E+17,181.38327,0.039233498,286,51999,473
rs0731,3.22158E+17,182.01652,0.69759319,286,51999,547
rs0736,3.22167E+17,182.27832,0.47330678,286,51999,582
rs0742,3.22168E+17,182.4045,0.53613816,286,51999,583
rs0741,3.22169E+17,182.36942,0.53330107,286,51999,587
rs0744,3.2217E+17,182.42112,0.65771764,286,51999,590
rs0743,3.22174E+17,182.41088,0.9570506,286,51999,606
rs0745,3.22175E+17,182.47445,0.9285522,286,51999,608
rs0748,3.22178E+17,182.56923,0.62662306,286,51999,622
rs0747,3.2218E+17,182.55139,0.75404218,286,51999,629
rs1505,3.22181E+17,182.52407,0.31322303,286,51999,633
rs0751,3.23234E+17,182.64713,1.0287202,287,52023,368
rs0749,3.23237E+17,182.6297,0.67279088,287,52023,376
rs0750,3.23237E+17,182.6297,0.67279088,287,52023,376
rs1507,3.23237E+17,182.6297,0.67279088,287,52023,376
rs0755,3.23237E+17,182.70207,0.60227352,287,52023,377
rs0754,3.23237E+17,182.68471,0.62586397,287,52023,379
rs0740,3.23243E+17,182.3557,0.30820401,287,52023,399
rs0766,3.23244E+17,182.94458,0.98949174,287,52023,402
rs0762,3.23245E+17,182.84083,0.81800422,287,52023,406
rs0758,3.23245E+17,182.78307,0.9568216,287,52023,407
rs0752,3.23246E+17,182.65521,1.0648873,287,52023,410
rs0759,3.23247E+17,182.78327,0.78159091,287,52023,412
rs0757,3.23247E+17,182.76692,0.97227748,287,52023,413
rs0756,3.23247E+17,182.76409,0.62408475,287,52023,415
rs0764,3.2325E+17,182.90434,0.32250413,287,52023,423
rs0763,3.23252E+17,182.86903,0.37863543,287,52023,432
rs0771,3.23255E+17,183.12847,0.89419528,287,52023,441
rs0774,3.23267E+17,183.19349,0.40911412,287,52023,485
rs0772,3.23268E+17,183.15344,0.19381229,287,52023,491
rs0775,3.2327E+17,183.25125,0.043752428,287,52023,497
rs0781,3.23271E+17,183.68935,0.74352956,287,52023,502
rs0776,3.23279E+17,183.2913,1.1923326,287,52023,529
rs0779,3.23291E+17,183.62177,0.83009005,287,52023,574
rs0794,3.23308E+17,184.62744,0.013271128,287,52023,637
rs0789,3.2435E+17,184.37205,1.1989464,288,52000,329
rs0783,3.24365E+17,183.96874,0.40074026,288,52000,385
rs0802,3.2438E+17,184.89867,1.2166407,288,52000,441
rs0800,3.24386E+17,184.81743,0.64817006,288,52000,462
rs0801,3.24397E+17,184.85513,0.63096249,288,52000,500
rs1339,3.24426E+17,185.9772,0.83051774,288,52000,608
rs1338,3.24427E+17,185.92764,0.96217882,288,52000,612
rs0824,3.25489E+17,186.02036,1.1897936,289,51990,378
rs0834,3.25501E+17,186.56017,0.26721967,289,51990,421
rs1340,3.25511E+17,186.98189,1.1162298,289,51990,457
rs0836,3.25525E+17,187.11303,0.14238911,289,51990,509
rs0838,3.25525E+17,187.27901,0.58106249,289,51990,510
rs0840,3.25534E+17,187.42103,0.25340704,289,51990,541
rs0839,3.25542E+17,187.34018,1.0569309,289,51990,569
rs0845,3.25542E+17,187.7058,0.74510376,289,51990,571
rs0846,3.25545E+17,187.71665,0.52722713,289,51990,581
rs0861,3.25546E+17,187.93752,0.51189204,289,51990,587
rs0855,3.25547E+17,187.84175,0.60998867,289,51990,590
rs0849,3.25548E+17,187.74807,0.54210626,289,51990,592
rs0850,3.25548E+17,187.78098,0.46313575,289,51990,594
rs0854,3.2555E+17,187.84023,0.23978178,289,51990,599
rs0852,3.2555E+17,187.79601,0.60623968,289,51990,600
rs0843,3.25551E+17,187.65304,0.84626065,289,51990,603
rs1341,3.25554E+17,187.69793,0.6358071,289,51990,615
rs0865,3.25557E+17,188.10703,0.45712265,289,51990,626
rs0862,3.25561E+17,187.93981,0.45260806,289,51990,640
rs0859,3.26602E+17,187.92181,0.95923912,290,51941,331
rs0851,3.26606E+17,187.78488,0.6137188,290,51941,344
rs1449,3.26606E+17,187.74569,0.26307152,290,51941,345
rs0844,3.26609E+17,187.65758,0.3439149,290,51941,358
rs0869,3.26629E+17,188.68754,0.36662643,290,51941,429
rs0871,3.2663E+17,188.75916,0.037663934,290,51941,433
rs0882,3.26649E+17,189.69367,0.32253786,290,51941,501
rs0881,3.26651E+17,189.65322,0.62451333,290,51941,509
rs0884,3.2666E+17,189.75468,0.36557387,290,51941,542
rs0889,3.26661E+17,189.84349,0.4602442,290,51941,544
rs0883,3.26662E+17,189.70062,0.27001555,290,51941,550
rs0886,3.26663E+17,189.7734,0.28292159,290,51941,554
rs0885,3.26664E+17,189.75924,0.25705319,290,51941,556
rs0892,3.26674E+17,189.96873,0.12547405,290,51941,593
rs0895,3.26678E+17,190.1817,0.79784785,290,51941,609
rs0901,3.26682E+17,190.33987,0.22092287,290,51941,621
rs0891,3.27727E+17,189.94066,0.89823766,291,51928,329
rs0887,3.27731E+17,189.79746,0.71748173,291,51928,341
rs0888,3.27733E+17,189.81381,0.29636036,291,51928,351
rs0896,3.27737E+17,190.22348,1.0083456,291,51928,364
rs0897,3.27739E+17,190.23911,0.98722275,291,51928,370
rs0922,3.28908E+17,192.87752,1.1951284,292,51609,527
rs0927,3.28926E+17,193.5224,0.17531066,292,51609,594
rs0942,3.3003E+17,195.0197,0.45298859,293,51689,515
rs0949,3.3006E+17,195.71712,0.40697508,293,51689,625
rs0964,3.31173E+17,197.33227,0.88371708,294,51986,577
rs0969,3.31181E+17,197.51944,0.94879773,294,51986,606
rs0965,3.31182E+17,197.38287,0.85703718,294,51986,610
rs0977,3.32233E+17,198.00808,0.59241297,295,51985,335
rs0974,3.32233E+17,197.90608,0.66584445,295,51985,336
rs0962,3.32236E+17,197.20866,1.0022575,295,51985,347
rs0963,3.32246E+17,197.21224,0.79525805,295,51985,383
rs1354,3.32263E+17,198.63484,0.59609768,295,51985,445
rs1357,3.32293E+17,199.29492,0.52757058,295,51985,555
rs1355,3.32295E+17,198.85721,0.97347937,295,51985,563
rs1356,3.32305E+17,199.25059,0.63957393,295,51985,599
rs0994,3.32309E+17,198.99353,1.008626,295,51985,612
rs1358,3.33362E+17,199.47124,0.71841523,296,51984,348
rs1008,3.33376E+17,199.59456,0.65002534,296,51984,398
rs1018,3.33385E+17,199.9286,0.74305145,296,51984,430
rs1028,3.33399E+17,200.40028,0.57300615,296,51984,482
rs1025,3.34487E+17,200.34618,0.3424101,297,51959,343
rs1054,3.34532E+17,201.91883,0.68798225,297,51959,507
rs1063,3.34554E+17,202.44846,0.51062598,297,51959,587
rs1067,3.34556E+17,202.5091,0.31715648,297,51959,597
rs1068,3.34557E+17,202.51588,0.29985393,297,51959,599
rs1062,3.34558E+17,202.43751,1.1829565,297,51959,604
rs1064,3.34559E+17,202.45306,1.0179179,297,51959,607
rs1077,3.3558E+17,203.13643,0.060945248,298,51955,224
rs1059,3.35607E+17,202.30771,0.72853512,298,51955,323
rs1070,3.35608E+17,202.72408,0.93802513,298,51955,325
rs1066,3.35625E+17,202.49968,0.30512067,298,51955,387
rs1079,3.35642E+17,203.18613,0.76888646,298,51955,450
rs1091,3.35662E+17,203.50674,1.0960646,298,51955,523
rs1123,3.35682E+17,204.24406,0.22566909,298,51955,597
rs1132,3.35685E+17,204.3753,1.0827946,298,51955,605
rs1142,3.3569E+17,204.61882,0.51035228,298,51955,625
rs1153,3.3569E+17,204.83339,0.34142934,298,51955,626
rs1145,3.35691E+17,204.66557,0.54584584,298,51955,629
rs1141,3.36735E+17,204.60276,1.0449411,299,51671,330
rs1137,3.36743E+17,204.52687,0.020488527,299,51671,360
rs1177,3.36757E+17,205.23969,0.92610695,299,51671,411
rs1187,3.36768E+17,205.52089,0.71822419,299,51671,451
rs1236,3.37791E+17,208.10125,0.088760198,300,51943,76
rs1239,3.3794E+17,208.18381,0.80269549,300,51943,617
rs1240,3.38991E+17,208.1863,0.1314426,301,51942,345
rs1250,3.38993E+17,208.42832,0.060869005,301,51942,353
rs1381,3.38993E+17,208.42469,0.12158571,301,51942,355
rs1375,3.38995E+17,208.15357,0.022485219,301,51942,360
rs1389,3.39E+17,208.99626,0.75412748,301,51942,380
rs1398,3.39062E+17,210.44363,1.1568112,301,51942,604
rs1399,3.39063E+17,210.50855,0.99323,301,51942,607
rs1272,3.44622E+17,216.9871,0.022573856,306,51637,351
rs1280,3.46914E+17,221.83671,0.010753292,308,51662,496
rs1282,3.47988E+17,222.84758,0.007093309,309,51994,309
rs1295,3.49163E+17,225.95959,0.56546609,310,51990,489
rs0739,3.6377E+17,182.3369,1.1514796,323,51615,380
rs0773,3.64915E+17,183.16303,0.89405724,324,51666,448
rs1509,3.64921E+17,182.88778,0.59780266,324,51666,470
rf0425,4.19969E+17,332.99698,-0.25309909,373,51788,30
rf0424,4.20025E+17,331.42568,-0.56129661,373,51788,235
rf0421,4.20034E+17,331.23309,-0.59761109,373,51788,265
rf0422,4.20035E+17,331.24466,-0.46448714,373,51788,271
rf0420,4.20041E+17,331.03666,-0.92549508,373,51788,293
rf0426,4.21112E+17,334.14536,-0.722128,374,51791,92
rf0750,4.21205E+17,333.15771,0.51148248,374,51791,429
rf0429,4.23405E+17,336.97582,-1.1492211,376,52143,241
rf0758,4.23489E+17,338.05267,0.55748294,376,52143,547
rf0432,4.23512E+17,338.65362,0.17354151,376,52143,630
rf0434,4.24466E+17,340.20099,-1.1538227,377,52145,7
rf0759,4.24557E+17,338.36308,0.73868187,377,52145,337
rf0431,4.2457E+17,338.45751,0.48290711,377,52145,384
rf0436,4.25645E+17,341.19523,-0.087071502,378,52146,198
rf0439,4.25752E+17,341.91439,0.32106207,378,52146,588
rf0441,4.25761E+17,342.3947,0.17457772,378,52146,623
rf0453,4.26724E+17,344.51863,-0.46225139,379,51789,30
rf0449,4.2677E+17,343.26315,0.044412312,379,51789,196
rf0446,4.26831E+17,343.19458,1.1328078,379,51789,417
rf0445,4.26831E+17,343.18199,1.0791381,379,51789,419
rf0450,4.26838E+17,343.26868,1.1444324,379,51789,443
rf0447,4.26838E+17,343.20527,1.2011369,379,51789,445
rf0448,4.2684E+17,343.24399,1.1425926,379,51789,449
rf0454,4.27904E+17,344.76335,-0.32939483,380,51792,227
rf0455,4.28004E+17,346.01733,0.7806696,380,51792,590
rf0456,4.29041E+17,346.48147,-0.53973921,381,51811,265
rf0459,4.29074E+17,346.66313,0.57811124,381,51811,385
rf0462,4.30211E+17,348.58103,0.18285296,382,51816,427
rf0463,4.30214E+17,348.63808,0.23601285,382,51816,437
rf0464,4.31299E+17,350.14666,-0.88089692,383,51818,290
rf0466,4.31342E+17,351.18597,1.0301147,383,51818,444
rf0465,4.31344E+17,351.08704,0.9966934,383,51818,453
rf0471,4.31393E+17,352.64269,0.13565024,383,51818,632
rf0469,4.31395E+17,352.63347,0.08103466,383,51818,637
rf0468,4.31396E+17,352.60695,0.15670109,383,51818,640
rf0476,4.32404E+17,353.07148,-0.79777281,384,51821,213
rf0477,4.32405E+17,353.10525,-0.8470336,384,51821,215
rf0478,4.3241E+17,353.14932,-0.7371971,384,51821,236
rf0470,4.32443E+17,352.63888,0.14388736,384,51821,356
rf0475,4.32446E+17,353.02486,1.1187077,384,51821,366
rf0472,4.32452E+17,352.69628,0.086506379,384,51821,386
rf0473,4.32453E+17,352.84695,-0.030769538,384,51821,392
rf0480,4.3246E+17,353.24722,0.72189259,384,51821,415
rf0482,4.32515E+17,353.98571,0.70384962,384,51821,615
rf0771,4.33523E+17,355.13624,-0.55106737,385,51783,189
rf0485,4.3353E+17,355.18473,-0.88746202,385,51783,214
rf0767,4.33535E+17,354.81472,-0.055035967,385,51783,231
rf0768,4.33536E+17,354.92187,-0.034504586,385,51783,235
rf0770,4.33542E+17,355.02195,-0.62819622,385,51783,256
rf0484,4.33588E+17,354.78602,0.46342762,385,51783,423
rf0488,4.33611E+17,355.60843,0.25594821,385,51783,506
rf0487,4.33611E+17,355.54868,0.35810054,385,51783,508
rf0492,4.33631E+17,356.07292,0.44173933,385,51783,582
rf0494,4.33633E+17,356.12534,0.32045758,385,51783,588
rf0490,4.33634E+17,355.98312,0.21805952,385,51783,591
rf0493,4.33634E+17,356.09245,0.096381329,385,51783,593
rf0496,4.33647E+17,356.75701,0.55263938,385,51783,640
rf0787,4.346E+17,358.45524,-0.97446064,386,51788,10
rf0512,4.34606E+17,359.04698,-0.029233975,386,51788,31
rf0507,4.34607E+17,358.9037,0.024232529,386,51788,34
rf0786,4.34612E+17,358.3792,-0.74016914,386,51788,52
rf0503,4.34623E+17,358.09446,-0.62875778,386,51788,93
rf0505,4.3463E+17,358.63494,-0.046976949,386,51788,120
rf0785,4.34638E+17,358.35714,-0.50668409,386,51788,147
rf0504,4.3464E+17,358.46884,-0.098715452,386,51788,154
rf0499,4.34656E+17,357.49063,-0.64859428,386,51788,213
rf0495,4.3468E+17,356.27031,-0.27082594,386,51788,301
rf0776,4.34696E+17,356.26281,0.32048504,386,51788,360
rf0778,4.34702E+17,357.24154,0.5148695,386,51788,382
rf0777,4.34705E+17,357.09836,0.17044029,386,51788,392
rf0502,4.3474E+17,358.06602,0.10296021,386,51788,520
rf0506,4.34759E+17,358.78358,0.25684767,386,51788,587
rf0792,4.34761E+17,358.79776,0.085564686,386,51788,595
rf0511,4.34769E+17,359.03637,0.4821985,386,51788,626
rf0510,4.3477E+17,359.03258,0.54950452,386,51788,628
rf0508,4.34773E+17,358.96653,0.55791761,386,51788,638
rf0515,4.35776E+17,0.0325982,-0.040570729,387,51791,192
rf0794,4.35805E+17,359.11379,-0.84464123,387,51791,296
rf0513,4.35807E+17,359.05618,-0.54070326,387,51791,305
rf0795,4.35818E+17,359.14384,0.55002892,387,51791,344
rf0796,4.35832E+17,359.43229,0.65519756,387,51791,397
rf0002,4.36941E+17,1.1467433,0.84860456,388,51793,333
rf0003,4.37006E+17,2.3154286,0.81258425,388,51793,571
rf0005,4.38062E+17,3.0253963,-0.41521028,389,51795,317
rf0009,4.38125E+17,4.416511,0.50621391,389,51795,544
rf0006,4.39179E+17,4.1918456,-1.1082097,390,51900,282
rf0007,4.39183E+17,4.2865156,-0.95803251,390,51900,300
rf0010,4.39197E+17,4.4759073,0.32934063,390,51900,350
rf0013,4.39204E+17,4.9472132,0.59079485,390,51900,374
rf0012,4.39205E+17,4.7534942,0.66183399,390,51900,377
rf0014,4.39205E+17,5.0072028,0.65393326,390,51900,379
rf0015,4.39213E+17,5.1074239,0.82635002,390,51900,407
rf0017,4.39217E+17,5.1195075,0.54119247,390,51900,422
rf0018,4.39223E+17,5.1410432,0.85649225,390,51900,444
rf0019,4.39224E+17,5.2570858,0.99248975,390,51900,447
rf0020,4.39226E+17,5.2620909,0.83348053,390,51900,453
rf0022,4.39229E+17,5.4408345,0.55754276,390,51900,465
rf0021,4.39244E+17,5.3970288,1.1656471,390,51900,522
rf0530,4.39265E+17,6.3330101,0.52532646,390,51900,596
rf0024,4.39268E+17,6.3933748,0.84684705,390,51900,609
rf0031,4.40244E+17,7.8003923,-0.40735554,391,51782,63
rf0026,4.40261E+17,6.9743469,-0.9668345,391,51782,125
rf0528,4.40306E+17,6.2680414,-1.0508856,391,51782,286
rf0025,4.40328E+17,6.6040626,1.020004,391,51782,368
rf0533,4.40365E+17,7.4099163,0.41037371,391,51782,502
rf0029,4.40376E+17,7.7173598,0.52871514,391,51782,542
rf0030,4.40387E+17,7.7525306,0.43571504,391,51782,583
rf0032,4.40395E+17,7.9302529,0.90079039,391,51782,611
rf0536,4.40399E+17,8.3117996,0.20101874,391,51782,625
rf0043,4.4136E+17,10.157721,-0.33066247,392,51793,27
rf0040,4.41373E+17,10.112071,-0.0454237,392,51793,74
rf0034,4.41402E+17,9.1262441,-0.28740345,392,51793,180
rf0033,4.41433E+17,7.9582222,-0.99101881,392,51793,290
rf0028,4.4144E+17,7.6825406,-0.29957552,392,51793,317
rf0539,4.41504E+17,9.4992296,0.70998732,392,51793,549
rf0037,4.41513E+17,9.8951018,0.85988943,392,51793,583
rf0038,4.4152E+17,9.9306065,0.96064315,392,51793,608
rf0541,4.4152E+17,9.8144096,0.94252239,392,51793,609
rf0059,4.42524E+17,11.161987,-0.36223271,393,51794,164
rf0051,4.42546E+17,10.45995,-1.02387,393,51794,245
rf0053,4.42554E+17,10.538531,-0.087882331,393,51794,273
rf0042,4.42563E+17,10.14622,-0.29365619,393,51794,307
rf0056,4.42578E+17,10.629373,1.0771455,393,51794,362
rf0047,4.42581E+17,10.400011,1.0737124,393,51794,372
rf0054,4.42581E+17,10.547121,0.90453564,393,51794,373
rf0055,4.42583E+17,10.566123,0.84547343,393,51794,379
rf0052,4.42584E+17,10.515675,0.71895341,393,51794,383
rf0049,4.42586E+17,10.417392,0.20875108,393,51794,392
rf0048,4.42588E+17,10.408358,0.25764364,393,51794,396
rf0057,4.42606E+17,10.966152,0.80195716,393,51794,464
rf0058,4.42623E+17,11.12295,1.1083743,393,51794,525
rf0064,4.43668E+17,12.620745,-0.53058847,394,51913,229
rf0061,4.43684E+17,11.819748,-1.1486314,394,51913,290
rf0060,4.4369E+17,11.696079,-0.70081647,394,51913,310
rf0062,4.43709E+17,12.398894,1.1152432,394,51913,380
rf0065,4.43719E+17,12.715061,0.8512079,394,51913,418
rf0066,4.43731E+17,12.955889,0.56478469,394,51913,461
rf0068,4.43767E+17,13.937414,0.58827687,394,51913,592
rf0077,4.44739E+17,15.676881,-0.74963806,395,51783,30
rf0083,4.4474E+17,15.889994,-0.60698123,395,51783,33
rf0070,4.44756E+17,14.523431,-0.89968137,395,51783,94
rf0071,4.44852E+17,14.703573,0.58722378,395,51783,441
rf0074,4.44874E+17,14.925516,0.9166085,395,51783,522
rf0073,4.44875E+17,14.767141,1.0011388,395,51783,525
rf0089,4.44901E+17,16.059305,-0.11652704,395,51783,621
rf0088,4.44903E+17,16.037019,-0.095515703,395,51783,628
rf0123,4.4586E+17,17.427784,-0.9536912,396,51816,12
rf0119,4.45865E+17,17.021631,-0.79546061,396,51816,32
rf0111,4.45874E+17,16.712485,-0.57047701,396,51816,63
rf0113,4.45877E+17,16.788159,-0.62170676,396,51816,75
rf0104,4.45882E+17,16.475618,-0.98604575,396,51816,94
rf0100,4.45892E+17,16.236571,-0.90604725,396,51816,130
rf0101,4.45893E+17,16.279421,-0.81945714,396,51816,133
rf0103,4.45898E+17,16.372803,-0.34411196,396,51816,153
rf0102,4.459E+17,16.328245,-0.46118259,396,51816,160
rf0099,4.45901E+17,16.216263,-0.64805448,396,51816,161
rf0095,4.45903E+17,16.12173,-0.44076332,396,51816,170
rf0094,4.45906E+17,16.070712,-0.76494137,396,51816,181
rf0086,4.45909E+17,15.975058,-0.44072607,396,51816,191
rf0090,4.45909E+17,16.060403,-0.78048974,396,51816,193
rf0085,4.4591E+17,15.965104,-0.35864609,396,51816,194
rf0098,4.45912E+17,16.17318,-0.95594168,396,51816,204
rf0092,4.45913E+17,16.063257,-1.114314,396,51816,206
rf0093,4.45914E+17,16.070015,-1.0749969,396,51816,210
rf0097,4.45916E+17,16.170145,-0.8027707,396,51816,218
rf0096,4.45917E+17,16.161297,-0.89102358,396,51816,219
rf0082,4.45919E+17,15.831319,-0.58963282,396,51816,228
rf0079,4.45919E+17,15.747804,-0.67846366,396,51816,229
rf0084,4.4592E+17,15.91173,-0.49108924,396,51816,233
rf0078,4.45922E+17,15.724494,-0.31970808,396,51816,239
rf0087,4.45923E+17,16.030398,-0.970024,396,51816,244
rf0080,4.45934E+17,15.757182,-1.1109825,396,51816,283
rf0075,4.45943E+17,15.208919,-0.73136959,396,51816,314
rf0076,4.45976E+17,15.503939,0.51215316,396,51816,435
rf0107,4.46008E+17,16.597751,0.34543929,396,51816,550
rf0115,4.46013E+17,16.847573,0.89271188,396,51816,568
rf0116,4.46015E+17,16.881369,0.88976887,396,51816,578
rf0114,4.46016E+17,16.844077,0.92596231,396,51816,579
rf0109,4.46021E+17,16.639594,-0.13384644,396,51816,598
rf0118,4.46026E+17,17.014532,1.1453408,396,51816,618
rf0126,4.46031E+17,17.71176,0.19814142,396,51816,636
rf0152,4.46984E+17,18.817064,-1.1002426,397,51794,8
rf0142,4.47002E+17,18.310325,-0.34162556,397,51794,70
rf0133,4.4701E+17,18.035962,-0.41023975,397,51794,101
rf0137,4.4701E+17,18.178385,-0.40254347,397,51794,102
rf0135,4.47011E+17,18.148753,-0.41466378,397,51794,105
rf0138,4.47012E+17,18.202533,-0.29018558,397,51794,109
rf0139,4.47013E+17,18.239269,-0.34498395,397,51794,112
rf0131,4.47022E+17,17.959506,-0.61970999,397,51794,143
rf0125,4.47027E+17,17.659383,-0.27804543,397,51794,163
rf0128,4.47028E+17,17.815741,-0.45593,397,51794,168
rf0122,4.47032E+17,17.384922,-0.34395595,397,51794,182
rf0117,4.4707E+17,17.009105,-0.075310587,397,51794,318
rf0127,4.47113E+17,17.747137,0.43365139,397,51794,474
rf0124,4.47113E+17,17.511769,0.42088488,397,51794,475
rf0134,4.47125E+17,18.140365,0.29339079,397,51794,520
rf0579,4.47129E+17,18.441558,0.94553062,397,51794,534
rf0143,4.47136E+17,18.353494,0.22046787,397,51794,560
rf0165,4.48121E+17,20.243569,-1.1586526,398,51789,45
rf0162,4.4814E+17,19.972182,-0.087710983,398,51789,117
